time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,train/clip_fraction,train/std,train/explained_variance,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/entropy_loss,train/loss,train/approx_kl,train/clip_range
1,-10.00386,256,1,236,60.75,,,,,,,,,,,
2,-9.949161,512,2,226,59.5,0.1375,1.0003904104232788,-0.017751216888427734,10,-0.030055008456110956,0.0003,9.448589730262757,-14.192328190803527,3.8447153568267822,0.011315755,0.2
3,-9.795098,768,3,223,65.45454545454545,0.080859375,1.001691460609436,-0.061940789222717285,20,-0.015485692815855146,0.0003,5.799478614330292,-14.197065830230713,2.488938331604004,0.013886378,0.2
4,-9.810822,1024,4,221,64.5,0.136328125,1.0014638900756836,0.13016390800476074,30,-0.02574868742376566,0.0003,3.00074979364872,-14.206369400024414,1.0295357704162598,0.014288176,0.2
5,-9.810822,1280,5,221,64.5,0.175,1.0001813173294067,-0.3515232801437378,40,-0.01957838817033917,0.0003,0.8717852494679391,-14.19759430885315,-0.015991289168596268,0.028881302,0.2
6,-9.810822,1536,6,220,64.5,0.098046875,1.0009644031524658,0.7016811370849609,50,-0.0145118689048104,0.0003,0.1000923470244743,-14.190225076675414,-0.002714288653805852,0.010157311,0.2
8,-9.810822,1792,7,220,64.5,0.268359375,1.0018712282180786,0.7730880826711655,60,-0.020171015872620046,0.0003,0.013578738074284048,-14.204560589790344,-0.001575028640218079,0.018734675,0.2
9,-9.792758,2048,8,219,134.26666666666668,0.181640625,1.0019322633743286,0.269578754901886,70,-0.019266918604262172,0.0003,0.031903751858044414,-14.206568598747253,-0.016621116548776627,0.010589145,0.2
10,-9.748762,2304,9,219,143.4375,0.090625,1.0025259256362915,0.3112983703613281,80,-0.01968611089978367,0.0003,4.2697728157043455,-14.209625339508056,1.819263219833374,0.013671332,0.2
11,-9.767161,2560,10,218,125.6,0.108203125,1.002842664718628,-0.15200841426849365,90,-0.013742761395405978,0.0003,1.4576843343675137,-14.214826464653015,0.4000406265258789,0.01314632,0.2
12,-9.767161,2816,11,218,125.6,0.1015625,1.003000020980835,0.02990269660949707,100,-0.01606888769892976,0.0003,3.119848394393921,-14.217902731895446,1.4588251113891602,0.011797471,0.2
14,-4.9333835,3072,12,217,131.65217391304347,0.134765625,1.003814458847046,0.37161725759506226,110,-0.01676610144786537,0.0003,0.1713183727581054,-14.220969033241271,0.0036925114691257477,0.025637845,0.2
