time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/n_updates,train/clip_fraction,train/entropy_loss,train/loss,train/clip_range,rollout/ep_len_mean,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/std,train/value_loss,train/explained_variance,rollout/ep_rew_mean
256,239,1,1,,,,,,,,,,,,,
512,230,2,2,4920,0.1671875,-14.460209631919861,-0.015969781205058098,0.2,271.0,0.013374624,-0.022542309807613493,0.0003,1.0367740392684937,0.008670478267595172,0.9908760720863938,0.23967552
768,226,3,3,4930,0.056640625,-14.470653653144836,0.1452971249818802,0.2,313.0,0.010638041,-0.007293447433039546,0.0003,1.0382505655288696,0.6002995273098349,0.7989142537117004,3.59618
1024,224,4,4,4940,0.04375,-14.488143968582154,0.16030168533325195,0.2,247.5,0.005575453,-0.007889481144957244,0.0003,1.0394669771194458,0.9178456895053386,0.9331095889210701,27.260658
1280,223,5,5,4950,0.019140625,-14.493409347534179,201.32264709472656,0.2,243.8,0.0050045648,-0.006637672358192503,0.0003,1.0396559238433838,311.0415205001831,0.10182809829711914,21.419296
1536,222,6,6,4960,0.08203125,-14.496615076065064,0.051632270216941833,0.2,252.16666666666666,0.01756852,-0.010665932693518699,0.0003,1.040614128112793,1.3725979506969452,0.7137488424777985,16.864016
1792,222,8,7,4970,0.095703125,-14.501731348037719,0.1454954743385315,0.2,252.16666666666666,0.011124503,-0.014598668063990771,0.0003,1.039513349533081,0.4498816096223891,0.9740596935153008,16.864016
2048,221,9,8,4980,0.153515625,-14.479686713218689,-0.0031002145260572433,0.2,260.57142857142856,0.01353011,-0.0164423551177606,0.0003,1.0367048978805542,0.17570665292441845,0.9511989802122116,14.550714
2304,221,10,9,4990,0.1734375,-14.451685810089112,0.084250807762146,0.2,268.375,0.017245576,-0.0239709070767276,0.0003,1.034067988395691,0.27310176827013494,0.9684474878013134,12.956843
2560,221,11,10,5000,0.09765625,-14.436262369155884,-0.0027753300964832306,0.2,271.3333333333333,0.011000702,-0.015191558748483658,0.0003,1.0333607196807861,0.3322557099163532,0.9401630163192749,10.910292
2816,221,12,11,5010,0.15234375,-14.433373713493348,0.06356043368577957,0.2,279.8,0.0167775,-0.017326770653016865,0.0003,1.0330286026000977,0.5267137367278337,0.9059330299496651,10.446751
3072,220,13,12,5020,0.1140625,-14.434204840660096,0.05536793917417526,0.2,277.90909090909093,0.014543151,-0.015271954750642181,0.0003,1.0333601236343384,0.6282741073518991,0.9067553877830505,8.571763
3328,220,15,13,5030,0.127734375,-14.442513227462769,0.11174961924552917,0.2,277.90909090909093,0.014137174,-0.010890948469750583,0.0003,1.0346848964691162,0.74998276270926,0.7597164809703827,8.571763
3584,221,16,14,5040,0.291015625,-14.44283368587494,-0.0580240935087204,0.2,281.5833333333333,0.021256555,-0.038587488466873765,0.0003,1.0321295261383057,0.046937250928021965,0.9805805254727602,7.7534833
3840,221,17,15,5050,0.148046875,-14.41529667377472,0.07375545054674149,0.2,281.5833333333333,0.014699625,-0.017727040860336274,0.0003,1.0299479961395264,0.2036773469299078,0.9641355983912945,7.7534833
4096,221,18,16,5060,0.14765625,-14.400897884368897,0.07352802157402039,0.2,277.57142857142856,0.015596241,-0.011328400089405477,0.0003,1.0295361280441284,1.9094514824450015,-0.2800203561782837,14.944282
4352,221,19,17,5070,0.0015625,-14.400453639030456,243.93045043945312,0.2,281.6666666666667,0.0027571868,-0.0022941049886867405,0.0003,1.0295377969741821,314.83131914138795,0.005502104759216309,14.2609
4608,219,21,18,5080,0.13515625,-14.408869791030884,0.40403860807418823,0.2,285.4375,0.012788461,-0.01835658196359873,0.0003,1.032069444656372,0.8757362183183431,0.8706968873739243,13.808654
4864,217,22,19,5090,0.16875,-14.422824048995972,0.10928233712911606,0.2,285.4375,0.013799064,-0.020697371708229183,0.0003,1.0314861536026,0.5309374567121268,0.8929564505815506,13.808654
5120,216,23,20,5100,0.136328125,-14.405242085456848,-0.018765408545732498,0.2,288.7647058823529,0.015163817,-0.017482377891428768,0.0003,1.0295847654342651,0.06745840930379927,0.900245301425457,13.296654
5376,217,24,21,5110,0.233984375,-14.390006113052369,0.03833974152803421,0.2,290.94444444444446,0.022454266,-0.031439118983689694,0.0003,1.0293867588043213,0.2586919550783932,0.9595504999160767,12.894149
