time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/loss,train/n_updates,rollout/ep_len_mean,train/value_loss,train/entropy_loss,train/explained_variance,train/std,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/clip_fraction,rollout/ep_rew_mean
230,1,1,256,,,,,,,,,,,,,
221,2,2,512,0.18770450353622437,8830,164.0,2.2720626845955847,-14.115175032615662,0.7639444470405579,1.0084426403045654,0.2,-0.02099891999969259,0.02193407,0.0003,0.106640625,-25.71772
219,3,3,768,0.840661883354187,8840,165.75,3.460188190639019,-14.121351718902588,0.7420668303966522,1.0084965229034424,0.2,-0.01641180821461603,0.014587769,0.0003,0.096875,0.84965515
218,4,4,1024,230.0433349609375,8850,188.6,344.2363311767578,-14.118972039222717,0.13035154342651367,1.0083205699920654,0.2,-0.00653567377012223,0.0060274387,0.0003,0.0359375,-8.384167
217,5,5,1280,0.2569577693939209,8860,182.14285714285714,1.8830071538686752,-14.11560504436493,0.9450388737022877,1.0075289011001587,0.2,-0.012413463741540908,0.017139137,0.0003,0.080859375,-19.119686
217,7,6,1536,49.021514892578125,8870,182.14285714285714,76.19879546165467,-14.10658438205719,-0.32550764083862305,1.0072194337844849,0.2,-0.009479479561559857,0.007730494,0.0003,0.020703125,-19.119686
216,8,7,1792,-0.02011892944574356,8880,194.625,0.4573203086853027,-14.105464696884155,0.9733491949737072,1.0067617893218994,0.2,-0.03173864372074604,0.0208205,0.0003,0.275390625,-22.473097
216,9,8,2048,-0.02414642460644245,8890,187.3,0.18360495306551455,-14.099369788169861,0.9707196447998285,1.0056915283203125,0.2,-0.027429151895921676,0.016703233,0.0003,0.218359375,-12.041062
216,10,9,2304,207.05557250976562,8900,183.08333333333334,357.92826519012453,-14.092242336273193,0.1030724048614502,1.0051696300506592,0.2,-0.003960225521586836,0.0068937168,0.0003,0.06328125,-17.655695
216,11,10,2560,38.121395111083984,8910,190.15384615384616,71.59979600906372,-14.091286540031433,-0.07009434700012207,1.005270004272461,0.2,-0.01629818903747946,0.011590741,0.0003,0.0515625,-19.753603
215,13,11,2816,0.033222272992134094,8920,199.0,0.3357874095439911,-14.090103793144227,0.982192549854517,1.0047118663787842,0.2,-0.02143931754399091,0.012569137,0.0003,0.16875,-22.102747
215,14,12,3072,0.09637104719877243,8930,188.0,0.4640850707888603,-14.085760569572448,0.9390799216926098,1.0049173831939697,0.2,-0.023771876096725465,0.016424814,0.0003,0.166796875,-13.996091
215,15,13,3328,0.4805535078048706,8940,185.1764705882353,147.02049334794282,-14.09256374835968,0.11103028059005737,1.0057463645935059,0.2,-0.014206464076414705,0.013701537,0.0003,0.086328125,-9.217949
215,16,14,3584,83.20911407470703,8950,190.61111111111111,356.24791660308836,-14.095987343788147,0.16375601291656494,1.005552053451538,0.2,-0.005931926681660116,0.0028052842,0.0003,0.00234375,-11.014423
215,17,15,3840,0.09832551330327988,8960,187.35,0.7373823754489421,-14.090369582176208,0.9551985189318657,1.0043059587478638,0.2,-0.020165352965705097,0.013672939,0.0003,0.119921875,-7.1173983
214,19,16,4096,172.83364868164062,8970,192.66666666666666,324.5817258834839,-14.083226466178894,0.21616607904434204,1.0040122270584106,0.2,-0.008471959340386092,0.0074951407,0.0003,0.0625,-9.079456
214,20,17,4352,0.11499479413032532,8980,197.0909090909091,0.5620244856923818,-14.077487301826476,0.9866885207593441,1.0024036169052124,0.2,-0.018565769016277045,0.013548557,0.0003,0.082421875,-10.565796
214,21,18,4608,0.12496008723974228,8990,197.0909090909091,0.48109380193054674,-14.058675909042359,0.9367516711354256,0.9994519352912903,0.2,-0.017184193851426242,0.01071465,0.0003,0.128515625,-10.565796
214,22,19,4864,-0.004683667793869972,9000,195.75,0.27713378006592393,-14.033096075057983,0.9602088667452335,0.9972966313362122,0.2,-0.026824949379079043,0.016617773,0.0003,0.212890625,-12.106313
214,23,20,5120,0.09808138012886047,9010,193.46153846153845,1.131001502275467,-14.01684637069702,0.8500181436538696,0.9960004687309265,0.2,-0.018975974433124064,0.020699002,0.0003,0.135546875,-9.163827
214,25,21,5376,29.25460433959961,9020,196.55555555555554,262.63328580856324,-14.011477589607239,0.28974467515945435,0.9957558512687683,0.2,1.4963396824896336e-05,0.001827895,0.0003,0.0,-10.343895
214,26,22,5632,0.08975833654403687,9030,200.28571428571428,0.7564382772892714,-14.00819194316864,0.9199830889701843,0.9949424862861633,0.2,-0.02452119260560721,0.015667181,0.0003,0.126171875,-11.5885515
214,27,23,5888,0.07469091564416885,9040,200.28571428571428,0.4293660882860422,-14.00843358039856,0.9547813273966312,0.9961109161376953,0.2,-0.03413089441601187,0.017223295,0.0003,0.2203125,-11.5885515
214,28,24,6144,-0.035743556916713715,9050,198.53333333333333,0.08541186871007085,-14.023229622840882,0.968552328646183,0.9978144764900208,0.2,-0.02440335797145963,0.016773257,0.0003,0.244140625,-12.535353
214,29,25,6400,0.1339840292930603,9060,196.53125,0.6578931353986264,-14.035104465484618,0.8691734671592712,0.9989837408065796,0.2,-0.026318707363680006,0.022430714,0.0003,0.18828125,-13.400813
214,31,26,6656,0.4609973728656769,9070,199.33333333333334,8.837723402678966,-14.042737650871278,0.5724100470542908,0.9994007349014282,0.2,-0.010935287922620773,0.007275246,0.0003,0.041796875,-14.2914505
214,32,27,6912,0.11449448764324188,9080,197.17142857142858,0.3861747723072767,-14.041414666175843,0.9375578351318836,0.998813807964325,0.2,-0.031712816294748335,0.015367699,0.0003,0.24375,-14.95451
213,33,28,7168,0.21980136632919312,9090,188.2972972972973,1.0263061322271825,-14.034976267814637,0.7260658442974091,0.9988129734992981,0.2,-0.018194069899618626,0.022874214,0.0003,0.14765625,-14.720014
212,34,29,7424,-0.028307735919952393,9100,191.52631578947367,0.07826835736632347,-14.035286474227906,0.9773020874708891,0.9996379613876343,0.2,-0.026816374878399073,0.02005903,0.0003,0.2046875,-15.555371
211,36,30,7680,0.1925937533378601,9110,190.35,0.824356985092163,-14.036050724983216,0.7921256422996521,0.9991022348403931,0.2,-0.022811142471618952,0.026097553,0.0003,0.191796875,-13.444387
212,37,31,7936,112.33293151855469,9120,190.35,395.5006070137024,-14.027644777297974,0.10520654916763306,0.9985126256942749,0.2,-0.008568942733108997,0.008384739,0.0003,0.03828125,-13.444387
212,38,32,8192,0.06810803711414337,9130,184.13636363636363,0.5089638836681842,-14.02747483253479,0.9344009011983871,0.9991289377212524,0.2,-0.02847801484167576,0.014046967,0.0003,0.169921875,-13.627579
212,39,33,8448,190.04249572753906,9140,183.6086956521739,474.6051193237305,-14.033254766464234,0.05235636234283447,0.9994071125984192,0.2,-0.00601621200912632,0.006174718,0.0003,0.02265625,-14.416089
212,40,34,8704,0.22182047367095947,9150,183.6086956521739,1.3761572405695914,-14.037751197814941,0.8202824741601944,1.0006623268127441,0.2,-0.017330258362926544,0.01454613,0.0003,0.12421875,-14.416089
212,42,35,8960,0.0132103580981493,9160,180.10204081632654,0.34054378103464844,-14.04372010231018,0.843564435839653,1.0005581378936768,0.2,-0.011922101303935052,0.020794457,0.0003,0.13125,-10.366252
212,43,36,9216,501.006591796875,9170,182.92,768.6791931152344,-14.03890781402588,0.03665900230407715,1.0002533197402954,0.2,-0.002665388537570834,0.0034049337,0.0003,0.00703125,-11.154367
212,44,37,9472,0.16903038322925568,9180,184.7843137254902,0.6782979674637317,-14.0346168756485,0.9517086632549763,0.9992488622665405,0.2,-0.02241901142988354,0.017581174,0.0003,0.15546875,-11.7719965
212,45,38,9728,0.33675092458724976,9190,186.28846153846155,0.5764186907559633,-14.018538403511048,0.9359972402453423,0.9971070289611816,0.2,-0.015336720843333752,0.011271205,0.0003,0.1609375,-12.255973
212,47,39,9984,0.11726978421211243,9200,186.28846153846155,0.4361534362658858,-14.00328278541565,0.9414090253412724,0.9969469308853149,0.2,-0.02290249355137348,0.013134314,0.0003,0.213671875,-12.255973
212,48,40,10240,0.0008603297173976898,9210,188.9811320754717,0.13940955977886915,-14.013917279243469,0.9542104974389076,0.9988688230514526,0.2,-0.03283535270020366,0.020354945,0.0003,0.2453125,-12.979408
212,49,41,10496,0.0837126076221466,9220,190.59259259259258,0.3800214696675539,-14.0407958984375,0.9515170641243458,1.0008822679519653,0.2,-0.033790944039355966,0.023146708,0.0003,0.261328125,-13.421269
212,50,42,10752,-0.019729159772396088,9230,189.23214285714286,0.3436391280964017,-14.054011154174805,0.9470773302018642,1.0010188817977905,0.2,-0.019103133026510476,0.01929405,0.0003,0.2,-11.834799
212,51,43,11008,235.42623901367188,9240,191.3859649122807,184.50410140901803,-14.05995512008667,0.34785598516464233,1.0012986660003662,0.2,-0.008951296098530293,0.008078831,0.0003,0.04609375,-12.4171295
212,52,44,11264,0.19036102294921875,9250,193.48275862068965,0.7127432011067867,-14.063417220115662,0.8815265148878098,1.002300500869751,0.2,-0.01916881885845214,0.024790015,0.0003,0.16953125,-13.00923
212,54,45,11520,0.15208713710308075,9260,195.22033898305085,0.40129190068691967,-14.064961075782776,0.9568507373332977,1.0008909702301025,0.2,-0.022766146063804626,0.013875092,0.0003,0.162109375,-13.470083
212,55,46,11776,0.049859825521707535,9270,195.22033898305085,0.3709986934438348,-14.046900701522826,0.9394263066351414,0.998539924621582,0.2,-0.031151689914986493,0.01950994,0.0003,0.26328125,-13.470083
212,56,47,12032,-0.0018365439027547836,9280,196.31666666666666,0.7944211393594742,-14.030721020698547,0.668420135974884,0.9977368116378784,0.2,-0.015747989364899694,0.015702967,0.0003,0.12734375,-13.848529
212,57,48,12288,-0.017351901158690453,9290,192.96825396825398,0.18441003174521028,-14.033209848403931,0.9648679085075855,0.9988104104995728,0.2,-0.029685803037136794,0.03189125,0.0003,0.2859375,-14.186294
212,58,49,12544,0.044024739414453506,9300,194.640625,0.33897201959043743,-14.019935655593873,0.8858805075287819,0.9947102665901184,0.2,-0.029906546557322146,0.044847995,0.0003,0.312109375,-14.641409
212,60,50,12800,0.04306267946958542,9310,196.43076923076924,0.3601621985435486,-13.987639164924621,0.9221961796283722,0.9931848645210266,0.2,-0.034946834482252595,0.02460545,0.0003,0.251171875,-15.170336
212,61,51,13056,0.37669992446899414,9320,197.8181818181818,0.42270558178424833,-13.969266557693482,0.905228354036808,0.9908002018928528,0.2,-0.024622195609845222,0.0123390285,0.0003,0.13046875,-15.553358
213,62,52,13312,0.05292726308107376,9330,197.8181818181818,0.37505013719201086,-13.946045899391175,0.8761058002710342,0.9889655113220215,0.2,-0.034218278247863054,0.017067652,0.0003,0.228515625,-15.553358
213,63,53,13568,-0.03346685320138931,9340,198.97014925373134,0.08133776262402534,-13.929660272598266,0.9835371393710375,0.9882181882858276,0.2,-0.03283850857988,0.017283045,0.0003,0.2484375,-15.917829
213,64,54,13824,0.16212205588817596,9350,200.0,0.3718372294679284,-13.920091605186462,0.9326192438602448,0.9875944256782532,0.2,-0.02384817027486861,0.028372305,0.0003,0.23359375,-16.244713
213,66,55,14080,0.03487444296479225,9360,201.2608695652174,0.312568567879498,-13.919685745239258,0.9316529110074043,0.9879510998725891,0.2,-0.02225741809234023,0.010713926,0.0003,0.219140625,-16.605946
213,67,56,14336,0.10935469716787338,9370,199.94366197183098,0.31803597807884215,-13.916894674301147,0.9597905464470387,0.9876642227172852,0.2,-0.025498835905455052,0.013987027,0.0003,0.203125,-15.256253
213,68,57,14592,75.1715316772461,9380,200.86111111111111,360.55296115875245,-13.914767050743103,0.12468534708023071,0.9877287745475769,0.2,0.0016834607697091997,0.007943403,0.0003,0.0609375,-15.554439
213,69,58,14848,0.03239817917346954,9390,201.7945205479452,0.263541619386524,-13.91426055431366,0.9652623161673546,0.9873141050338745,0.2,-0.03479547137394547,0.026677366,0.0003,0.268359375,-15.869826
213,70,59,15104,0.07580216974020004,9400,202.77027027027026,0.2774168336763978,-13.898866820335389,0.9630255699157715,0.984035849571228,0.2,-0.018545775301754476,0.029231168,0.0003,0.218359375,-16.190079
213,72,60,15360,0.1330195665359497,9410,203.8,0.3011660646647215,-13.873853993415832,0.9722255375236273,0.9830813407897949,0.2,-0.02425956493243575,0.009675051,0.0003,0.147265625,-16.457268
213,73,61,15616,0.05708526819944382,9420,204.72368421052633,0.4422158539295197,-13.868503379821778,0.8795191720128059,0.9833634495735168,0.2,-0.02308330315281637,0.016807612,0.0003,0.15,-16.77442
213,74,62,15872,-0.005762077867984772,9430,205.3896103896104,0.679870612733066,-13.872032070159912,0.8295163214206696,0.9843298196792603,0.2,-0.035973299550823866,0.035166807,0.0003,0.22578125,-17.026888
213,75,63,16128,0.06972312927246094,9440,206.35897435897436,0.321271681971848,-13.881970047950745,0.9516473077237606,0.9854931831359863,0.2,-0.024763417639769615,0.018796965,0.0003,0.19453125,-17.307953
213,76,64,16384,0.08174481987953186,9450,206.35897435897436,0.326637402549386,-13.88214955329895,0.9434057213366032,0.984223484992981,0.2,-0.04139911632519215,0.015638951,0.0003,0.258203125,-17.307953
213,77,65,16640,-0.022572588175535202,9460,207.40506329113924,0.12368354117497801,-13.863883137702942,0.9768939763307571,0.9814094305038452,0.2,-0.0319071982987225,0.015003709,0.0003,0.209375,-17.595837
213,79,66,16896,0.08722439408302307,9470,208.45,0.11756295338273048,-13.82871346473694,0.9802125468850136,0.9773015975952148,0.2,-0.02728075156919658,0.018167756,0.0003,0.205859375,-17.873722
213,80,67,17152,0.11835460364818573,9480,209.28395061728395,0.4267434041947126,-13.795163774490357,0.9110774025321007,0.9753759503364563,0.2,-0.02925014783395454,0.018534232,0.0003,0.14296875,-18.118328
213,81,68,17408,0.15236608684062958,9490,210.2560975609756,0.3397530911490321,-13.774799156188966,0.9535870179533958,0.9729189872741699,0.2,-0.028481078427284957,0.030294716,0.0003,0.24375,-18.35405
213,82,69,17664,0.1752241998910904,9500,211.289156626506,0.33775008022785186,-13.766138553619385,0.9448231682181358,0.9741919636726379,0.2,-0.03201870943885297,0.031233028,0.0003,0.2921875,-18.622568
213,83,70,17920,0.09263698756694794,9510,210.57647058823528,0.3435380131006241,-13.774775981903076,0.9597534760832787,0.9732839465141296,0.2,-0.028129332582466304,0.024461735,0.0003,0.219140625,-18.774977
213,84,71,18176,0.04905938357114792,9520,211.32558139534885,0.36751662101596594,-13.749773573875427,0.9575612805783749,0.9701299667358398,0.2,-0.023835974140092732,0.022126712,0.0003,0.202734375,-19.000542
214,86,72,18432,0.06363169103860855,9530,211.32558139534885,0.31146118845790627,-13.724150085449219,0.9132037162780762,0.9695855975151062,0.2,-0.02621976868249476,0.019538058,0.0003,0.245703125,-19.000542
214,87,73,18688,-0.03142945468425751,9540,212.183908045977,0.07262207614257932,-13.71750636100769,0.989657842554152,0.9680983424186707,0.2,-0.02711058217100799,0.031758502,0.0003,0.226171875,-19.238443
214,88,74,18944,0.20450402796268463,9550,212.95454545454547,0.2969149213284254,-13.695592570304871,0.937543198466301,0.9652716517448425,0.2,-0.01815279896836728,0.014859763,0.0003,0.183984375,-19.439669
214,89,75,19200,0.1660320907831192,9560,213.5505617977528,0.29049262683838606,-13.66331307888031,0.9586696401238441,0.9626280069351196,0.2,-0.012211224902421236,0.019038057,0.0003,0.1625,-19.618181
214,90,76,19456,0.1464056372642517,9570,214.14444444444445,0.27583665587008,-13.630700278282166,0.9451113119721413,0.9587095379829407,0.2,-0.019581317668780684,0.014946803,0.0003,0.2125,-19.832312
214,91,77,19712,0.10727663338184357,9580,214.83516483516485,0.29391743149608374,-13.609235692024232,0.9556096903979778,0.9583509564399719,0.2,-0.024851164128631354,0.013127409,0.0003,0.157421875,-20.034647
214,93,78,19968,0.1958346664905548,9590,215.4673913043478,0.30943986121565104,-13.60854344367981,0.9557349123060703,0.9584401845932007,0.2,-0.023378388467244805,0.012405433,0.0003,0.16875,-20.229303
214,94,79,20224,0.11527520418167114,9600,216.05376344086022,0.3298141065984964,-13.608220076560974,0.954713735729456,0.9582416415214539,0.2,-0.02576324613764882,0.012363134,0.0003,0.1734375,-20.38578
214,95,80,20480,0.08321265876293182,9610,216.61702127659575,0.30365533474832773,-13.603964734077454,0.9547903425991535,0.9575810432434082,0.2,-0.029214614490047097,0.022519488,0.0003,0.24609375,-20.578413
214,96,81,20736,0.0010834112763404846,9620,217.13684210526316,0.34187525045126677,-13.602753162384033,0.9486313499510288,0.9573526382446289,0.2,-0.030906047858297824,0.019001761,0.0003,0.20546875,-20.770864
214,97,82,20992,0.06562343239784241,9630,217.78125,0.3519151357933879,-13.604015946388245,0.9620103016495705,0.9566380381584167,0.2,-0.02780944388359785,0.01651688,0.0003,0.226953125,-20.959723
214,99,83,21248,0.08640725910663605,9640,218.42268041237114,0.37875427268445494,-13.594098687171936,0.9411224201321602,0.9551275372505188,0.2,-0.025748236617073417,0.016437758,0.0003,0.2125,-21.177858
214,100,84,21504,0.051840487867593765,9650,219.03061224489795,0.43144659548997877,-13.577527284622192,0.9230142310261726,0.9543828964233398,0.2,-0.022121210221666843,0.01412314,0.0003,0.19296875,-21.375954
214,101,85,21760,0.1336614340543747,9660,217.27272727272728,0.3903830135241151,-13.570247578620911,0.9510248862206936,0.9531639218330383,0.2,-0.02768526503350586,0.021049272,0.0003,0.253125,-21.269243
214,102,86,22016,-0.01589379832148552,9670,217.76,0.17472138423472644,-13.565188336372376,0.9700000267475843,0.9531819224357605,0.2,-0.018345593567937614,0.010995251,0.0003,0.165625,-21.442957
214,103,87,22272,0.2108137011528015,9680,218.08,0.4338580574840307,-13.57166268825531,0.9211243912577629,0.9535710215568542,0.2,-0.030688275303691625,0.020144837,0.0003,0.233984375,-21.436558
214,104,88,22528,0.10315456986427307,9690,218.1,0.3312957687303424,-13.566685938835144,0.9236254543066025,0.951803982257843,0.2,-0.02300378419458866,0.015984848,0.0003,0.15703125,-21.40644
214,106,89,22784,0.3424314856529236,9700,220.18,0.3528452323749661,-13.547079133987427,0.9446968510746956,0.951244056224823,0.2,-0.031011080904863774,0.02181519,0.0003,0.262109375,-22.765047
214,107,90,23040,0.13673515617847443,9710,220.16,0.3519873160868883,-13.543383002281189,0.9481058195233345,0.9501408338546753,0.2,-0.017228140565566718,0.01653247,0.0003,0.16953125,-22.701117
214,108,91,23296,0.12642644345760345,9720,214.12,0.3766240030527115,-13.52731614112854,0.9421336390078068,0.9498823285102844,0.2,-0.02601792154600844,0.0156203015,0.0003,0.226953125,-21.423565
214,109,92,23552,0.013246111571788788,9730,216.35,0.3099178995937109,-13.528180885314942,0.8185247927904129,0.9505378603935242,0.2,-0.02208006284199655,0.015145333,0.0003,0.196484375,-22.778872
214,110,93,23808,0.164293110370636,9740,214.35,0.3753141351044178,-13.5269775390625,0.9306645020842552,0.9496275782585144,0.2,-0.018990043667145073,0.012238953,0.0003,0.144140625,-22.499756
214,111,94,24064,-0.003645379561930895,9750,214.96,0.04922663713805377,-13.513487100601196,0.9914874946698546,0.9477243423461914,0.2,-0.0284224437084049,0.015208276,0.0003,0.19609375,-22.084017
214,113,95,24320,0.12659595906734467,9760,211.89,0.3383835252374411,-13.489216256141663,0.9286842569708824,0.9446245431900024,0.2,-0.02413856138009578,0.027449401,0.0003,0.267578125,-22.68397
215,114,96,24576,0.23556873202323914,9770,209.43,0.42930619828402994,-13.469034099578858,0.9307360723614693,0.9446398615837097,0.2,-0.02899837205186486,0.025728274,0.0003,0.255859375,-23.471886
214,115,97,24832,-0.0014561228454113007,9780,206.6,0.12466337522491813,-13.47679145336151,0.9752889648079872,0.9448261260986328,0.2,-0.029727645590901373,0.013572506,0.0003,0.248046875,-24.150476
215,116,98,25088,0.1912260204553604,9790,203.6,0.44344773292541506,-13.46668565273285,0.9225020557641983,0.9415618777275085,0.2,-0.02865714686922729,0.015456325,0.0003,0.2109375,-23.75029
215,117,99,25344,0.08828170597553253,9800,205.87,0.41174668408930304,-13.434753918647766,0.9304414913058281,0.9389950037002563,0.2,-0.02465484058484435,0.02103652,0.0003,0.2125,-24.033964
215,118,100,25600,0.19072698056697845,9810,205.55,0.3741805873811245,-13.417467665672302,0.9329182580113411,0.937911868095398,0.2,-0.019267211807891725,0.015071418,0.0003,0.16953125,-23.946995
215,120,101,25856,0.11239968240261078,9820,207.97,0.3570697851479053,-13.405761337280273,0.9475310631096363,0.9364598989486694,0.2,-0.018854503403417766,0.022116888,0.0003,0.222265625,-25.317665
215,121,102,26112,0.06352159380912781,9830,204.13,0.36638992503285406,-13.400315999984741,0.94931311160326,0.9369300007820129,0.2,-0.0329631416592747,0.02599286,0.0003,0.274609375,-24.725403
215,122,103,26368,0.0447184294462204,9840,203.91,0.19243367072194814,-13.403305268287658,0.8623214066028595,0.9352517127990723,0.2,-0.020687368372455238,0.015484738,0.0003,0.18515625,-24.719183
215,123,104,26624,0.2749876081943512,9850,202.6,0.3360044924542308,-13.391389322280883,0.9314622730016708,0.9353790283203125,0.2,-0.02549289115704596,0.015355948,0.0003,0.203125,-24.475176
215,124,105,26880,-0.04671735316514969,9860,204.77,0.06564112019259483,-13.40167989730835,0.9613046608865261,0.936793327331543,0.2,-0.02869800408370793,0.01813299,0.0003,0.212109375,-24.728897
215,126,106,27136,0.026696424931287766,9870,202.67,0.3085411360487342,-13.41006031036377,0.9456423744559288,0.9348476529121399,0.2,-0.023816519253887235,0.020191688,0.0003,0.226953125,-24.404165
215,127,107,27392,0.12191443145275116,9880,203.9,0.3379219423979521,-13.391764998435974,0.9547331109642982,0.9340767860412598,0.2,-0.02494303658604622,0.0138699,0.0003,0.180859375,-24.457554
215,128,108,27648,0.0334540456533432,9890,201.53,0.226444648578763,-13.402108693122864,0.8446787893772125,0.9359062910079956,0.2,-0.02129005445167422,0.019086374,0.0003,0.22421875,-24.109665
215,129,109,27904,-0.023061364889144897,9900,201.79,0.08169361283071339,-13.41248562335968,0.9616389684379101,0.934792160987854,0.2,-0.020774797978810967,0.010671683,0.0003,0.173828125,-25.199705
215,130,110,28160,0.24993795156478882,9910,201.03,0.39230075292289257,-13.40272297859192,0.9515602774918079,0.9352478981018066,0.2,-0.03178642906714231,0.026995236,0.0003,0.258203125,-24.99655
215,131,111,28416,0.21663716435432434,9920,202.18,0.360031421482563,-13.40360860824585,0.9534340649843216,0.9342597126960754,0.2,-0.02028612168505788,0.01644234,0.0003,0.18359375,-24.237707
215,133,112,28672,-0.035972584038972855,9930,204.59,0.01989140424411744,-13.402382874488831,0.9893524618819356,0.9353129267692566,0.2,-0.016695075714960695,0.0074913995,0.0003,0.108984375,-25.609442
215,134,113,28928,0.13372886180877686,9940,204.61,0.37619173154234886,-13.415409970283509,0.9534457251429558,0.9363114237785339,0.2,-0.029145405581220984,0.016762272,0.0003,0.191015625,-25.49594
215,135,114,29184,0.2909436523914337,9950,203.69,0.42044507786631585,-13.42284424304962,0.9546821564435959,0.9375616908073425,0.2,-0.03648394027259201,0.024067696,0.0003,0.27265625,-26.354336
215,136,115,29440,-0.008490150794386864,9960,204.62,0.12635860298760235,-13.432698917388915,0.8791637346148491,0.9378541707992554,0.2,-0.024917072954121978,0.016245408,0.0003,0.16640625,-27.499199
215,137,116,29696,0.00025453604757785797,9970,204.29,0.0668594176415354,-13.43254201412201,0.9615578353404999,0.9382807016372681,0.2,-0.030148945678956807,0.015392275,0.0003,0.255078125,-27.439913
215,138,117,29952,0.0445641353726387,9980,204.35,0.45288276076316836,-13.441640329360961,0.9429418481886387,0.9395259022712708,0.2,-0.02445560006890446,0.017026693,0.0003,0.1875,-27.41967
215,140,118,30208,0.25212225317955017,9990,202.89,0.4837031129747629,-13.455494856834411,0.9356746599078178,0.9397588968276978,0.2,-0.026060411729849874,0.013075933,0.0003,0.170703125,-27.191801
215,141,119,30464,-0.02768101543188095,10000,197.73,0.06139202322810888,-13.469975972175598,0.9863008605316281,0.9426013231277466,0.2,-0.026573998224921524,0.013913101,0.0003,0.19609375,-25.467825
215,142,120,30720,252.3928680419922,10010,200.45,359.16894035339357,-13.492609596252441,0.09334176778793335,0.9433442950248718,0.2,-0.0014886134769767523,0.005383496,0.0003,0.0296875,-26.88472
215,143,121,30976,0.06568309664726257,10020,200.01,1.3494489051401615,-13.495227074623108,0.9541251137852669,0.9437412023544312,0.2,-0.02294376880163327,0.024770662,0.0003,0.113671875,-26.813911
215,144,122,31232,0.2007388025522232,10030,199.8,0.4773544704541564,-13.505548429489135,0.9657417610287666,0.9453850984573364,0.2,-0.019592704647220672,0.01331566,0.0003,0.1421875,-26.773098
215,146,123,31488,0.22791343927383423,10040,196.14,0.5060551043599844,-13.527038049697875,0.9626526422798634,0.9480759501457214,0.2,-0.026549519086256624,0.014654725,0.0003,0.1828125,-26.266983
215,147,124,31744,-0.008410181850194931,10050,195.3,0.12424354320392013,-13.5458393573761,0.9748853351920843,0.9482021331787109,0.2,-0.01799571799347177,0.015107064,0.0003,0.180078125,-26.037466
215,148,125,32000,-0.004023879766464233,10060,197.38,0.287717392668128,-13.53451373577118,0.9162909463047981,0.9465641975402832,0.2,-0.03227638420648873,0.018814754,0.0003,0.2046875,-26.285297
215,149,126,32256,0.11926621198654175,10070,197.32,0.5172405313700438,-13.514191389083862,0.9493617415428162,0.9449299573898315,0.2,-0.034357604663819076,0.026364237,0.0003,0.307421875,-26.268833
215,150,127,32512,0.22042353451251984,10080,197.21,0.5341664485633373,-13.501789307594299,0.9491156600415707,0.9443863034248352,0.2,-0.02412091598380357,0.013503215,0.0003,0.16640625,-26.18669
215,151,128,32768,0.08202914893627167,10090,197.21,0.42056391164660456,-13.502074790000915,0.9405362755060196,0.9449823498725891,0.2,-0.022185307904146613,0.017720385,0.0003,0.24453125,-26.18669
215,153,129,33024,0.014794738963246346,10100,195.33,0.07345133232884109,-13.506880021095276,0.9878584640100598,0.9445079565048218,0.2,-0.021117916621733457,0.016540058,0.0003,0.16640625,-25.899475
215,154,130,33280,-0.0004397202283143997,10110,195.73,0.3001249946653843,-13.497917079925537,0.9377646185457706,0.9436160326004028,0.2,-0.025145009881816803,0.017295815,0.0003,0.215234375,-25.969578
215,155,131,33536,0.14220023155212402,10120,195.69,0.5459774728864432,-13.4876118183136,0.9491282254457474,0.9419634938240051,0.2,-0.01716767530888319,0.018239014,0.0003,0.171875,-25.942173
215,156,132,33792,0.25659677386283875,10130,195.75,0.45596446115523576,-13.468434023857117,0.9518864899873734,0.9408007860183716,0.2,-0.02000852907076478,0.011703849,0.0003,0.163671875,-27.073435
