time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/learning_rate,train/std,train/loss,train/clip_range,train/value_loss,train/n_updates,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/entropy_loss,rollout/ep_len_mean,rollout/ep_rew_mean
1,128,0,240,,,,,,,,,,,,,
2,256,1,230,0.0003,0.9097713232040405,-0.05113498494029045,0.2,0.005511352093890309,12740,0.024371402,-0.02904904233291745,0.22578125,0.9970654551871121,-13.02657151222229,,
3,384,1,226,0.0003,0.9098148345947266,-0.028840234503149986,0.2,0.018124439753592014,12750,0.012292794,-0.01840922380797565,0.225,0.9852526308968663,-13.018383407592774,339.0,-44.765114
4,512,2,223,0.0003,0.9096742868423462,-0.002779439091682434,0.2,0.15179555788636206,12760,0.040416017,-0.03944492205046117,0.25703125,0.9877574341371655,-13.022530221939087,219.0,-28.89471
5,640,2,222,0.0003,0.9093078374862671,-0.03154321014881134,0.2,0.0409297906793654,12770,0.042185046,-0.04050817275419831,0.31328125,0.9560813009738922,-13.023326539993286,202.33333333333334,-26.147211
6,768,3,221,0.0003,0.9095837473869324,-0.003282012417912483,0.2,0.087151388078928,12780,0.01809661,-0.02578375961165875,0.22109375,0.9723118208348751,-13.021246147155761,202.33333333333334,-26.147211
7,896,4,220,0.0003,0.909938633441925,-0.030230842530727386,0.2,0.007529937324579805,12790,0.018742984,-0.0236482931766659,0.16953125,0.9945354447700083,-13.024359703063965,202.33333333333334,-26.147211
8,1024,4,219,0.0003,0.9096163511276245,-0.012393779121339321,0.2,0.06749515593983232,12800,0.016816914,-0.011069571832194924,0.1296875,0.9602843783795834,-13.028067064285278,231.5,-30.414804
9,1152,5,219,0.0003,0.9091988801956177,-0.03779416158795357,0.2,0.1475369954481721,12810,0.015358827,-0.02856101016514003,0.1171875,0.9533154293894768,-13.025262308120727,231.5,-30.414804
10,1280,5,218,0.0003,0.9097714424133301,-0.0561676025390625,0.2,0.13276312993839384,12820,0.019316044,-0.028070786315947772,0.1953125,0.9460558444261551,-13.02760853767395,247.6,-34.250435
11,1408,6,218,0.0003,0.9093415141105652,0.13375534117221832,0.2,0.39584492444992064,12830,0.024574013,-0.034469976415857674,0.1609375,0.9719113055616617,-13.03078908920288,247.6,-34.250435
12,1536,7,218,0.0003,0.9073702692985535,-0.009864021092653275,0.2,0.03101399661973119,12840,0.041253522,-0.029786563664674758,0.2859375,0.9831251390278339,-13.013803195953368,245.0,-33.513
13,1664,7,218,0.0003,0.9065020680427551,0.4950329065322876,0.2,1.0108531311154365,12850,0.022321422,-0.02467741649597883,0.13671875,0.9032047465443611,-12.993893098831176,245.0,-33.513
14,1792,8,218,0.0003,0.907086193561554,0.005376322194933891,0.2,0.008258608565665782,12860,0.025058491,-0.025378860905766486,0.29453125,0.9936295761726797,-12.989206409454345,255.71428571428572,-34.96325
15,1920,8,218,0.0003,0.9074535369873047,-0.0018528327345848083,0.2,0.13890418335795401,12870,0.021612842,-0.02215827931649983,0.21328125,0.8996327221393585,-12.993860912322997,255.71428571428572,-34.96325
16,2048,9,217,0.0003,0.9076904058456421,-0.0466342531144619,0.2,0.009343183529563249,12880,0.023649164,-0.029669070057570933,0.234375,0.9974514667410403,-12.995105075836182,240.875,-32.529976
17,2176,9,217,0.0003,0.9075808525085449,-0.013513829559087753,0.2,0.13845483995974064,12890,0.048036363,-0.024913933593779802,0.2375,0.951308086514473,-13.001172256469726,240.875,-32.529976
18,2304,10,217,0.0003,0.9074570536613464,-0.06441959738731384,0.2,0.022167582903057335,12900,0.03197779,-0.029416782781481743,0.3015625,0.9552804678678513,-13.000603485107423,251.22222222222223,-33.638947
19,2432,11,217,0.0003,0.907060444355011,0.057446956634521484,0.2,0.21076178401708603,12910,0.015668806,-0.027286272030323744,0.21640625,0.9786415435373783,-12.997800540924072,238.5,-31.75773
20,2560,11,217,0.0003,0.9068018794059753,-0.05213393270969391,0.2,0.029140497231855987,12920,0.021675749,-0.02749562468379736,0.14609375,0.9843447264283895,-12.993962621688842,227.1818181818182,-30.126995
21,2688,12,217,0.0003,0.9078303575515747,-0.024251699447631836,0.2,0.012952341698110104,12930,0.030084126,-0.03476358940824866,0.25,0.992827330250293,-12.996247959136962,217.58333333333334,-28.799414
22,2816,12,217,0.0003,0.9084609150886536,-0.0556788444519043,0.2,0.006346600980032235,12940,0.025342695,-0.03067480195313692,0.23046875,0.9958636378869414,-13.010042715072633,201.14285714285714,-26.63947
23,2944,13,217,0.0003,0.908502459526062,-0.03205135464668274,0.2,0.03292638957500458,12950,0.021480653,-0.024400451686233282,0.17578125,0.971048453822732,-13.012402439117432,195.53333333333333,-25.818012
24,3072,14,217,0.0003,0.9077154994010925,-0.06211704760789871,0.2,0.013729904661886394,12960,0.037123792,-0.03584572216495872,0.2640625,0.9918232895433903,-13.00975480079651,190.75,-25.117027
25,3200,14,217,0.0003,0.9064329862594604,-0.053161099553108215,0.2,0.009024842851795256,12970,0.02563495,-0.030883998284116386,0.2609375,0.995858951471746,-13.002010202407837,177.0,-23.702883
26,3328,15,217,0.0003,0.9072837829589844,0.03553196042776108,0.2,0.24728969819843769,12980,0.030853953,-0.011940707731992007,0.20078125,0.8690692037343979,-12.998058462142945,177.0,-23.702883
27,3456,15,217,0.0003,0.9074777364730835,-0.0595947727560997,0.2,0.009353333408944309,12990,0.027674932,-0.03293062341399491,0.28515625,0.9925608583725989,-13.009308624267579,167.8,-22.713528
28,3584,16,217,0.0003,0.9058172106742859,0.12871123850345612,0.2,0.2970313474535942,13000,0.027290316,-0.025302618741989136,0.1578125,0.5638732314109802,-13.000917148590087,162.8181818181818,-22.017418
29,3712,17,217,0.0003,0.9062274098396301,-0.014075626619160175,0.2,0.06228942666202784,13010,0.016191777,-0.016428746143355967,0.16328125,0.915034793317318,-12.989873456954957,160.34782608695653,-21.685152
30,3840,17,217,0.0003,0.9070857763290405,-0.04632658138871193,0.2,0.01727756280452013,13020,0.019608902,-0.03459139163605869,0.29375,0.9834556113928556,-12.998405361175537,153.36,-20.947485
31,3968,18,217,0.0003,0.9079543948173523,0.03625202178955078,0.2,0.24590210169553756,13030,0.025587933,-0.026802251767367124,0.2484375,0.7332632541656494,-13.00641622543335,152.19230769230768,-20.746208
32,4096,18,217,0.0003,0.9081217050552368,-0.04600416123867035,0.2,0.03094952506944537,13040,0.01604425,-0.02429792769253254,0.271875,0.9746172931045294,-13.012801027297973,150.88888888888889,-20.526077
33,4224,19,217,0.0003,0.9090362787246704,-0.031639039516448975,0.2,0.011511697596870363,13050,0.015491953,-0.023892700672149658,0.21328125,0.993807777762413,-13.015072631835938,149.60714285714286,-20.31259
34,4352,19,217,0.0003,0.9115437269210815,-0.056307602673769,0.2,0.01841754848137498,13060,0.01997589,-0.031119146943092348,0.19609375,0.97944400832057,-13.032228040695191,148.58620689655172,-20.165506
35,4480,20,217,0.0003,0.9117587804794312,-0.05561535060405731,0.2,0.007515260786749423,13070,0.035503514,-0.03726367885246873,0.3390625,0.9902582103386521,-13.05099959373474,147.36666666666667,-19.98865
36,4608,21,217,0.0003,0.9117527008056641,-0.035529088228940964,0.2,0.008968957024626434,13080,0.035013467,-0.03139206948690117,0.23125,0.9910163981840014,-13.049657344818115,147.83870967741936,-20.044083
37,4736,21,217,0.0003,0.9120035171508789,-0.015696493908762932,0.2,0.06616153037175536,13090,0.025060143,-0.023126594070345164,0.2421875,0.9581161141395569,-13.053185558319091,147.83870967741936,-20.044083
38,4864,22,217,0.0003,0.9109667539596558,-0.036208368837833405,0.2,0.01428723819553852,13100,0.026183197,-0.024987422116100787,0.20546875,0.9956606226041913,-13.04864821434021,150.125,-20.36341
39,4992,22,217,0.0003,0.9107058644294739,0.11871419847011566,0.2,0.39959235563874246,13110,0.02354944,-0.027008338924497367,0.18125,0.9375034607946873,-13.036920070648193,150.125,-20.36341
40,5120,23,217,0.0003,0.9107077717781067,-0.016422320157289505,0.2,0.03443947331979871,13120,0.022000894,-0.022796060936525465,0.17109375,0.9631632454693317,-13.03512134552002,152.1818181818182,-20.47879
41,5248,24,217,0.0003,0.9102550745010376,-0.012523863464593887,0.2,0.12927455641329288,13130,0.03224164,-0.03417954910546541,0.21953125,0.9451772607862949,-13.029225397109986,152.1818181818182,-20.47879
42,5376,24,217,0.0003,0.9092659950256348,-0.050141591578722,0.2,0.04405414592474699,13140,0.033999324,-0.02487626811489463,0.24453125,0.855864867568016,-13.020257616043091,158.08823529411765,-21.26027
43,5504,25,217,0.0003,0.9094073176383972,0.10328740626573563,0.2,0.4885236546397209,13150,0.021606153,-0.020692426851019262,0.2,0.5408384799957275,-13.012275123596192,156.25714285714287,-21.033567
44,5632,25,217,0.0003,0.9098904728889465,-0.014586732722818851,0.2,0.016535831498913467,13160,0.015719842,-0.023225957248359918,0.17734375,0.9928362839855254,-13.01774468421936,154.80555555555554,-20.84002
45,5760,26,217,0.0003,0.909960925579071,-0.010736308060586452,0.2,0.01562567662913352,13170,0.022423552,-0.024584225891157985,0.20703125,0.9943287395872176,-13.020413303375244,153.35135135135135,-20.63271
46,5888,27,217,0.0003,0.9104083776473999,-0.03216563165187836,0.2,0.04983992530032992,13180,0.020595137,-0.024412545561790466,0.17890625,0.9347622990608215,-13.023044300079345,148.53846153846155,-20.169247
47,6016,27,217,0.0003,0.9101107716560364,0.005459919571876526,0.2,0.20100430473685266,13190,0.03108951,-0.02494223862886429,0.1953125,0.8030150085687637,-13.026793193817138,148.15,-20.05184
48,6144,28,217,0.0003,0.9093462228775024,-0.07209116220474243,0.2,0.008225036936346441,13200,0.041511312,-0.04655818399041891,0.31640625,0.9974045094568282,-13.02498393058777,142.8139534883721,-19.498344
49,6272,28,217,0.0003,0.9091008305549622,0.008085701614618301,0.2,0.22251770868897439,13210,0.02591224,-0.04038894535042346,0.29921875,0.7746017873287201,-13.020115089416503,138.75555555555556,-19.132875
50,6400,29,217,0.0003,0.9091173410415649,0.13354933261871338,0.2,0.4320457994937897,13220,0.015842237,-0.021761367516592144,0.25078125,0.2541887164115906,-13.018444585800172,137.84782608695653,-19.000198
