time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,train/explained_variance,train/clip_fraction,train/value_loss,train/loss,train/clip_range,train/std,train/n_updates,train/approx_kl,train/entropy_loss,train/learning_rate,train/policy_gradient_loss
256,1,48.2,242,1,-10.266421,,,,,,,,,,,
512,2,50.666666666666664,234,2,-10.299454,-0.011213898658752441,0.098828125,11.979378390312196,2.7841014862060547,0.2,1.000873327255249,10,0.00919215,-14.193726420402527,0.0003,-0.017739754635840654
768,3,67.0,230,3,-10.461805,-0.006647586822509766,0.130078125,6.304624146223068,2.6004271507263184,0.2,1.0002529621124268,20,0.012144622,-14.194737648963928,0.0003,-0.026344917388632892
1024,4,67.0,229,4,-10.461805,0.039349913597106934,0.184765625,1.129150290042162,0.3747751712799072,0.2,0.999577522277832,30,0.010364031,-14.18869788646698,0.0003,-0.03192068038042635
1280,5,104.08333333333333,228,5,-11.580006,0.6632595062255859,0.159375,0.0055259769287658855,-0.03656311333179474,0.2,0.9994516372680664,40,0.012142748,-14.18259038925171,0.0003,-0.021614638273604214
1536,6,101.66666666666667,228,6,-11.521267,0.2568511366844177,0.10625,1.5044276654720306,0.5647395849227905,0.2,0.9993634223937988,50,0.020134877,-14.181627202033997,0.0003,-0.024637180054560302
1792,7,107.25,227,7,-11.629287,0.43415480852127075,0.155078125,1.4233998253941536,0.44311606884002686,0.2,0.9980143308639526,60,0.030213103,-14.177331399917602,0.0003,-0.02602344425395131
2048,9,101.83333333333333,227,8,-11.533471,0.6876936554908752,0.154296875,0.4056605102494359,0.04209167882800102,0.2,0.9994114637374878,70,0.018186681,-14.172583627700806,0.0003,-0.021061729837674646
2304,10,111.7,226,9,-12.062382,0.44494199752807617,0.138671875,1.5180056527256967,0.7743497490882874,0.2,1.00058913230896,80,0.015423455,-14.188466477394105,0.0003,-0.02092083573807031
2560,11,113.9047619047619,225,10,-12.039357,0.7601191103458405,0.184765625,0.8117737963795661,0.2752448618412018,0.2,1.0006736516952515,90,0.020872014,-14.193093156814575,0.0003,-0.022780041862279176
2816,12,125.45454545454545,225,11,-12.544908,0.7925132215023041,0.2375,0.31764425449073314,0.1619110405445099,0.2,1.002442479133606,100,0.020102732,-14.201630139350891,0.0003,-0.02232947985175997
3072,13,122.625,225,12,-12.466637,0.9475641287863255,0.115234375,0.1674200172536075,0.023426853120326996,0.2,1.0032451152801514,110,0.009983974,-14.214948701858521,0.0003,-0.020355306996498256
3328,14,123.28,224,13,-12.462844,0.4883623719215393,0.132421875,0.9228941887617111,0.09795679897069931,0.2,1.0038625001907349,120,0.017203717,-14.221666741371155,0.0003,-0.027565795683767647
3584,15,132.55555555555554,224,14,-12.697614,0.9310880601406097,0.108203125,0.17992596393451094,0.05232972279191017,0.2,1.0030877590179443,130,0.014613248,-14.219011664390564,0.0003,-0.024058077670633792
3840,17,131.9655172413793,224,15,-12.632602,0.8785231858491898,0.144921875,0.5244164526462555,0.18042972683906555,0.2,1.0020873546600342,140,0.01922381,-14.209977316856385,0.0003,-0.022177579859271646
4096,18,125.84375,224,16,-12.45994,0.8464538902044296,0.237890625,0.296551114320755,0.09848810732364655,0.2,1.0034282207489014,150,0.027792964,-14.211064267158509,0.0003,-0.02770088487304747
4352,19,120.54285714285714,224,17,-12.2991295,0.5172840654850006,0.073046875,1.418984816968441,0.3478170931339264,0.2,1.0037775039672852,160,0.012644945,-14.221696591377258,0.0003,-0.020003159414045513
4608,20,122.70270270270271,224,18,-12.295779,0.42354410886764526,0.10546875,1.7845010071992875,0.6291091442108154,0.2,1.0027368068695068,170,0.016845547,-14.218809485435486,0.0003,-0.023553811095189302
4864,21,120.025,224,19,-12.213377,0.8713170737028122,0.167578125,0.2854322470724583,0.04301531985402107,0.2,1.0048224925994873,180,0.015188547,-14.2198956489563,0.0003,-0.027786166919395328
5120,22,120.21951219512195,224,20,-12.176976,-0.06219756603240967,0.054296875,2.3291400939226152,1.0526620149612427,0.2,1.0052964687347412,190,0.010014692,-14.236910414695739,0.0003,-0.013003902463242411
5376,23,121.9090909090909,224,21,-12.226739,0.8578797280788422,0.1046875,0.213642537035048,0.04003859683871269,0.2,1.0090936422348022,200,0.014265174,-14.250986766815185,0.0003,-0.018343551782891154
5632,25,119.17021276595744,224,22,-12.126326,0.6040158271789551,0.176171875,0.735098822414875,0.3707476854324341,0.2,1.0138956308364868,210,0.022860657,-14.298466753959655,0.0003,-0.02715120844077319
