time/iterations,time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,train/entropy_loss,train/loss,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/value_loss,train/n_updates,train/std,train/explained_variance,train/approx_kl,train/learning_rate
1,244,8,-10.351823,49.58620689655172,2048,,,,,,,,,,,
2,235,17,-11.276166,80.53333333333333,4096,-14.234843337535859,3.4459915161132812,-0.012761623927508481,0.103466796875,0.2,6.2704728230834,10,1.0068840980529785,-0.07781374454498291,0.009891411,0.0003
3,233,26,-13.2240505,110.30909090909091,6144,-14.307878652215004,1.3609422445297241,-0.017639047219563508,0.1298828125,0.2,2.7884198812767864,20,1.0158710479736328,0.2896076440811157,0.012921301,0.0003
4,232,35,-12.514887,99.5925925925926,8192,-14.335939127206803,0.5797865390777588,-0.013398945226799696,0.12822265625,0.2,1.535762357711792,30,1.0135233402252197,0.14678335189819336,0.01069108,0.0003
5,231,44,-12.816057,105.19587628865979,10240,-14.325446406006813,33.22441864013672,-0.008906186776948743,0.0521484375,0.2,70.16302277669311,40,1.014099359512329,-0.014310717582702637,0.00611063,0.0003
6,231,53,-11.051716,119.57,12288,-14.33570555150509,7.326803684234619,-0.009873980318661778,0.1064453125,0.2,6.961041032150388,50,1.015677571296692,0.36765944957733154,0.010248872,0.0003
7,231,62,-11.454534,134.89,14336,-14.34470301270485,2.8156962394714355,-0.005335867992835119,0.029541015625,0.2,80.84570712670684,60,1.0157341957092285,0.17746233940124512,0.005857004,0.0003
8,230,70,-12.362094,149.1,16384,-14.326656228303909,0.9857410192489624,-0.015458093186316546,0.13369140625,0.2,1.663793495669961,70,1.0124237537384033,0.772765651345253,0.012397708,0.0003
9,230,79,-11.252124,152.92,18432,-14.306195810437202,0.6586668491363525,-0.014117733391321963,0.1396484375,0.2,7.891187483351677,80,1.0115327835083008,0.3534093499183655,0.012021583,0.0003
10,230,88,-9.25598,145.83,20480,-14.292713457345963,3.38025164604187,-0.005178155670728301,0.06044921875,0.2,41.15923269111663,90,1.009146809577942,0.14612871408462524,0.008020491,0.0003
11,230,97,-9.726684,162.5,22528,-14.274178794026374,53.02754592895508,-0.005689440521382494,0.078271484375,0.2,44.35394558850676,100,1.0087933540344238,0.09443384408950806,0.008434253,0.0003
12,230,106,-9.623728,173.09,24576,-14.31054101884365,0.07613924145698547,-0.012657018928439356,0.16083984375,0.2,0.19717730806441977,110,1.0143773555755615,0.9350579753518105,0.011629023,0.0003
13,230,115,-9.313662,187.57,26624,-14.31765547990799,0.04517029970884323,-0.00880818228033604,0.1375,0.2,0.6346874346490949,120,1.0115959644317627,0.7656099200248718,0.010846479,0.0003
14,230,124,-9.927747,204.14,28672,-14.311975386738776,1.5774457454681396,-0.007930988109001192,0.073291015625,0.2,44.38279371969402,130,1.0127297639846802,0.14142274856567383,0.008536615,0.0003
15,229,133,-9.299019,213.43,30720,-14.313887572288513,0.03884853050112724,-0.019265430480299984,0.178955078125,0.2,0.4457854502252303,140,1.0125863552093506,0.8409632742404938,0.013884805,0.0003
16,228,143,-9.422685,225.61,32768,-14.319886380434037,1.5881470441818237,-0.004356055417156312,0.069140625,0.2,40.829982140287754,150,1.013542890548706,0.2290705442428589,0.007327951,0.0003
17,228,152,-11.387233,218.57,34816,-14.296785178780556,0.06351950764656067,-0.010258957774931332,0.13291015625,0.2,0.5590277215465903,160,1.009494423866272,0.727225124835968,0.011180349,0.0003
