eval/mean_ep_length,eval/mean_reward,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/iterations,time/time_elapsed,train/clip_fraction,train/loss,train/n_updates,train/approx_kl,train/value_loss,train/std,train/clip_range,train/policy_gradient_loss,train/learning_rate,train/entropy_loss,train/explained_variance
38.2,-10.095525744199403,500,,,,,,,,,,,,,,,,
43.2,-10.116740530080278,1000,,,,,,,,,,,,,,,,
37.4,-10.083650314826809,1500,,,,,,,,,,,,,,,,
38.4,-10.092243843103642,2000,,,,,,,,,,,,,,,,
,,2048,85.33333333333333,-10.942737,206,1,9,,,,,,,,,,,
165.2,-19.694065689016135,2500,,,,,,0.12060546875,2.44193172454834,10,0.01105582,5.832522178441286,0.9985869526863098,0.2,-0.014901869292953052,0.0003,-14.181020158529282,0.005530238151550293
230.0,-26.211165780038574,3000,,,,,,,,,,,,,,,,
99.0,-14.2479300678242,3500,,,,,,,,,,,,,,,,
286.0,-32.10425596678397,4000,,,,,,,,,,,,,,,,
,,4096,79.01960784313725,-10.710744,144,2,28,,,,,,,,,,,
240.6,-34.05880756347906,4500,,,,,,0.080029296875,2.014575958251953,20,0.008929359,4.0369448363780975,1.002046823501587,0.2,-0.01034822716464987,0.0003,-14.193407595157623,-0.02656114101409912
246.8,-36.032595609384586,5000,,,,,,,,,,,,,,,,
143.8,-20.074434540327637,5500,,,,,,,,,,,,,,,,
189.6,-44.9030381137738,6000,,,,,,,,,,,,,,,,
,,6144,108.41071428571429,-12.948359,130,3,47,,,,,,,,,,,
194.6,-35.75048285734374,6500,,,,,,0.1576171875,6.350314140319824,30,0.011506986,9.408371031517163,1.002962350845337,0.2,-0.007810910653643077,0.0003,-14.218407300114631,-0.11391901969909668
182.8,-40.06369504684117,7000,,,,,,,,,,,,,,,,
221.0,-32.29981174161658,7500,,,,,,,,,,,,,,,,
208.2,-28.567253127740695,8000,,,,,,,,,,,,,,,,
,,8192,111.22222222222223,-14.992903,125,4,65,,,,,,,,,,,
162.0,-21.798295621015132,8500,,,,,,0.109326171875,11.174095153808594,40,0.009177218,32.90022947639227,1.000356912612915,0.2,-0.00938769075582968,0.0003,-14.207744452357293,-0.06592714786529541
142.4,-28.10170562878484,9000,,,,,,,,,,,,,,,,
154.2,-22.306337719457225,9500,,,,,,,,,,,,,,,,
177.0,-35.11714788628742,10000,,,,,,,,,,,,,,,,
,,10240,130.35064935064935,-16.845259,126,5,80,,,,,,,,,,,
196.4,-40.89532953170128,10500,,,,,,0.1943359375,12.458685874938965,50,0.015342329,12.615973524609581,1.0040570497512817,0.2,-0.011328388235415331,0.0003,-14.209202155470848,0.26662588119506836
238.2,-39.36627647497225,11000,,,,,,,,,,,,,,,,
217.6,-35.118819711986,11500,,,,,,,,,,,,,,,,
167.2,-15.396025345870294,12000,,,,,,,,,,,,,,,,
,,12288,148.1604938271605,-17.173529,123,6,99,,,,,,,,,,,
148.2,14.851963284006342,12500,,,,,,0.1076171875,3.186201572418213,60,0.008433276,48.72442731745541,1.004080891609192,0.2,-0.007158488300228782,0.0003,-14.229198679327965,0.015118300914764404
173.2,-20.23128785865847,13000,,,,,,,,,,,,,,,,
168.6,-8.575939208222554,13500,,,,,,,,,,,,,,,,
214.0,-19.570039783976974,14000,,,,,,,,,,,,,,,,
,,14336,150.5483870967742,-12.098553,123,7,115,,,,,,,,,,,
163.6,-8.779519574274309,14500,,,,,,0.02509765625,61.70856475830078,70,0.0053757895,153.30192942023277,1.0051966905593872,0.2,-0.003634259982209187,0.0003,-14.234888210892677,-0.0026897192001342773
164.0,-27.59850770579651,15000,,,,,,,,,,,,,,,,
139.6,-21.24385671359487,15500,,,,,,,,,,,,,,,,
149.8,-22.409994800272397,16000,,,,,,,,,,,,,,,,
,,16384,152.63541666666666,-11.076711,124,8,131,,,,,,,,,,,
102.4,-16.384255251986907,16500,,,,,,0.11513671875,0.17403581738471985,80,0.010889229,31.755404912680387,0.9991909265518188,0.2,-0.006864187910105101,0.0003,-14.206330049037934,0.23832178115844727
94.0,-23.540185417374595,17000,,,,,,,,,,,,,,,,
113.0,-17.421180848707444,17500,,,,,,,,,,,,,,,,
111.6,-17.379816382750867,18000,,,,,,,,,,,,,,,,
,,18432,179.22,-15.133371,127,9,144,,,,,,,,,,,
116.2,-26.643221973464826,18500,,,,,,0.12998046875,4.763991355895996,90,0.012628155,13.573135257698596,1.0040614604949951,0.2,-0.011241553840227425,0.0003,-14.205969035625458,0.596889853477478
91.6,-15.875744982017205,19000,,,,,,,,,,,,,,,,
99.8,-24.370864592818542,19500,,,,,,,,,,,,,,,,
80.8,-14.626555035705678,20000,,,,,,,,,,,,,,,,
,,20480,195.91,-16.733883,131,10,156,,,,,,,,,,,
115.6,3.7167933664284645,20500,,,,,,0.127783203125,17.85540008544922,100,0.009789333,17.11653894558549,1.0015599727630615,0.2,-0.008892763918265701,0.0003,-14.219164746999741,0.3066459894180298
73.0,-13.988272418780252,21000,,,,,,,,,,,,,,,,
111.8,-17.372397184441798,21500,,,,,,,,,,,,,,,,
83.2,-30.57514106375165,22000,,,,,,,,,,,,,,,,
123.0,-18.7481140102027,22500,,,,,,,,,,,,,,,,
,,22528,197.19,-16.381678,132,11,170,,,,,,,,,,,
98.2,-32.73129374184646,23000,,,,,,0.119677734375,69.55866241455078,110,0.009402946,52.99077572822571,1.001725435256958,0.2,-0.006727101154319825,0.0003,-14.200114423036576,0.05916553735733032
110.4,-34.2173957225401,23500,,,,,,,,,,,,,,,,
132.0,-29.089103940641508,24000,,,,,,,,,,,,,,,,
107.4,-25.759804526390507,24500,,,,,,,,,,,,,,,,
,,24576,208.63,-18.728695,134,12,183,,,,,,,,,,,
