time/iterations,time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/clip_range,train/approx_kl,train/entropy_loss,train/std,train/value_loss,train/explained_variance,train/loss,train/clip_fraction
1,8,246,2048,56.55555555555556,-10.4015465,,,,,,,,,,,
2,17,236,4096,60.91935483870968,-11.105967,10,-0.014041018004354556,0.0003,0.2,0.010507105,-14.134660708904267,0.991274356842041,8.489264816045761,-0.016152501106262207,4.734853744506836,0.10888671875
3,26,231,6144,77.16216216216216,-11.298023,20,-0.016737118267337793,0.0003,0.2,0.013128253,-14.089895677566528,0.9892976880073547,12.006367972493171,0.03415369987487793,3.889920711517334,0.12255859375
4,35,230,8192,91.85393258426966,-11.99353,30,-0.012566678195435088,0.0003,0.2,0.012456028,-14.102771726250648,0.9938305020332336,1.5658770612441004,0.1975245475769043,0.835851788520813,0.130859375
5,44,229,10240,99.01020408163265,-12.414914,40,-0.009627376029675361,0.0003,0.2,0.011295273,-14.135531568527222,0.9948712587356567,9.504669238068164,0.029315829277038574,7.582383155822754,0.125
6,53,228,12288,119.21,-13.858474,50,-0.010180784910335205,0.0003,0.2,0.010889104,-14.14523380100727,0.9970596432685852,8.106516067963094,0.14238935708999634,5.125830173492432,0.11669921875
7,62,228,14336,135.38,-15.11406,60,-0.015007918502669781,0.0003,0.2,0.012874782,-14.192272141575813,1.003190279006958,7.1309912128839645,0.15666311979293823,0.1292540729045868,0.16494140625
8,71,228,16384,154.9,-16.16212,70,-0.009826778298156568,0.0003,0.2,0.012652861,-14.227244758605957,1.004515290260315,6.3251855880022045,0.17848771810531616,9.967875480651855,0.133544921875
9,80,227,18432,157.4,-16.212347,80,-0.01577578732103575,0.0003,0.2,0.015669916,-14.27361677289009,1.0105003118515015,0.4124568299972452,-0.035429954528808594,0.1177663505077362,0.1912109375
10,89,227,20480,186.76,-19.0251,90,-0.010449348686961457,0.0003,0.2,0.009988274,-14.254776611924171,1.0032413005828857,0.163005385780707,0.7758646011352539,0.046376489102840424,0.1328125
11,98,227,22528,207.7,-22.04798,100,-0.0076040113643102815,0.0003,0.2,0.011333169,-14.200041365623473,0.9990236163139343,0.08350845685054083,0.8553954660892487,0.044120904058218,0.140869140625
12,108,227,24576,224.78,-23.139717,110,-0.008338959937100298,0.0003,0.2,0.009784409,-14.169149652123451,0.9974706768989563,0.07311206572412629,0.5415709018707275,-0.011821497231721878,0.121875
13,117,227,26624,249.81,-25.097586,120,-0.012982031949650263,0.0003,0.2,0.012925939,-14.15049096941948,0.9956005215644836,0.019332985716755503,0.9574650749564171,0.012772828340530396,0.146435546875
14,126,227,28672,254.01,-25.256382,130,-0.014495562890078872,0.0003,0.2,0.01102528,-14.132905831933021,0.9939038157463074,0.11486512498813681,0.962271586060524,0.025992747396230698,0.140380859375
15,135,227,30720,284.18,-28.40911,140,-0.00934055225661723,0.0003,0.2,0.009753451,-14.121385306119919,0.9926978945732117,0.07580242638359777,0.9323931261897087,0.01667892187833786,0.117041015625
16,144,227,32768,302.87,-29.314007,150,-0.006135816140158568,0.0003,0.2,0.0077772904,-14.090145409107208,0.9892354011535645,0.16240932739456185,0.9118173271417618,0.040877003222703934,0.093310546875
17,153,226,34816,318.81,-30.991201,160,-0.012855258374474942,0.0003,0.2,0.011148073,-14.078208792209626,0.9909098744392395,0.05946611133404076,0.977935042232275,0.01908683031797409,0.130615234375
18,162,226,36864,332.32,-31.664087,170,-0.005595073866425082,0.0003,0.2,0.010237126,-14.080540999770164,0.9886589050292969,0.013023170234373539,0.9789959248155355,-0.0008423414546996355,0.123046875
19,171,226,38912,356.82,-35.713528,180,-0.017238783660286573,0.0003,0.2,0.01413352,-14.120502039790154,0.9970840215682983,0.25468041586573237,0.9350227564573288,0.039339400827884674,0.158642578125
20,180,226,40960,375.44,-37.49547,190,-0.009488462706212886,0.0003,0.2,0.0104491245,-14.156096589565276,0.9975579977035522,0.2337061594153056,0.7662630677223206,0.002371404320001602,0.128271484375
21,189,226,43008,400.07,-39.324963,200,-0.006740590705885552,0.0003,0.2,0.010566484,-14.126820254325867,0.9908400774002075,0.06953410093847197,0.9122480154037476,0.008366609923541546,0.1234375
22,198,226,45056,415.3,-39.861607,210,-0.01215705940630869,0.0003,0.2,0.011773918,-14.084653073549271,0.9896787405014038,0.05115778676554328,0.9795860908925533,0.0037675276398658752,0.15400390625
23,207,226,47104,432.01,-40.608803,220,-0.012844870307890232,0.0003,0.2,0.012252526,-14.078453195095062,0.9894360303878784,0.16359590924694203,0.9022131711244583,0.07485905289649963,0.170361328125
24,216,226,49152,435.78,-41.52842,230,-0.010287849163432838,0.0003,0.2,0.012945764,-14.088703539967536,0.9915173649787903,0.07616465076862369,0.958036482334137,0.013070540502667427,0.148388671875
25,226,226,51200,442.13,-41.766167,240,-0.005737580935965525,0.0003,0.2,0.009245842,-14.081306767463683,0.9880620241165161,12.339992227964103,0.10680890083312988,7.991353988647461,0.0609375
26,235,226,53248,453.92,-42.16806,250,-0.014353553079854465,0.0003,0.2,0.01209751,-14.057877025008201,0.9876964688301086,0.3882449353346601,0.9039194285869598,0.1323128342628479,0.1275390625
27,244,226,55296,459.13,-42.277042,260,-0.010685199135332368,0.0003,0.2,0.009989388,-14.062854778766631,0.9886981248855591,7.2231745079159735,0.5788706243038177,1.5248364210128784,0.0771484375
28,253,226,57344,454.81,-40.821495,270,-0.013930798730871174,0.0003,0.2,0.012685235,-14.016405671834946,0.9801694750785828,0.5111283749341965,0.8274793177843094,0.08857187628746033,0.139501953125
29,262,226,59392,425.46,-38.59083,280,-0.01207050273369532,0.0003,0.2,0.010392049,-13.997074475884437,0.9824860692024231,0.24323110185796395,0.8474364131689072,0.08870238810777664,0.12080078125
30,271,226,61440,412.57,-36.181675,290,-0.016587000906292816,0.0003,0.2,0.011086454,-14.01002765893936,0.98370760679245,1.0812629108317195,0.36520081758499146,0.7365343570709229,0.1203125
31,280,226,63488,361.78,-29.24408,300,-0.015612331269949209,0.0003,0.2,0.01426301,-14.05212405025959,0.9884306192398071,0.32173259209375826,0.7658466100692749,0.030620813369750977,0.151611328125
32,289,226,65536,339.08,-26.058647,310,-0.005045290454290807,0.0003,0.2,0.0076161213,-14.075542682409287,0.9898117780685425,39.34876291397959,0.12041527032852173,2.919466495513916,0.069091796875
