time/fps,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/policy_gradient_loss,train/learning_rate,train/loss,train/value_loss,train/clip_fraction,train/entropy_loss,train/clip_range,train/explained_variance,train/std,train/n_updates,train/approx_kl
178,64,1,0,40.0,-10.267806,,,,,,,,,,,
194,128,2,0,51.5,-10.3431835,0.00013899840414524078,0.0003,1.6898525953292847,6.3802454471588135,0.0,-13.74195737838745,0.2,0.22363096475601196,0.9609955549240112,990,0.00018279348
197,192,3,0,51.5,-10.3431835,-0.003883547894656658,0.0003,3.004951000213623,6.99992938041687,0.0,-13.741061687469482,0.2,-0.19225215911865234,0.9608885049819946,1000,0.0003509717
199,256,4,1,51.5,-10.3431835,-0.006228459160774946,0.0003,0.10339367389678955,0.4758235789835453,0.0,-13.739119815826417,0.2,0.7515517771244049,0.9604746103286743,1010,0.0034301644
192,320,5,1,51.5,-10.3431835,-0.008588501904159784,0.0003,0.2753309905529022,1.483376568555832,0.0375,-13.733893394470215,0.2,-3.937201976776123,0.9602197408676147,1020,0.008181744
186,384,6,2,51.5,-10.3431835,-0.009326827619224787,0.0003,0.023588338866829872,0.6065646521747112,0.0234375,-13.732142925262451,0.2,-4.071747779846191,0.9598919749259949,1030,0.0090032825
186,448,7,2,51.5,-10.3431835,-0.02957533411681652,0.0003,-0.039390623569488525,0.04267694763839245,0.203125,-13.727198505401612,0.2,-2.248594284057617,0.9597609639167786,1040,0.037424978
188,512,8,2,170.0,-13.186219,-0.026067439652979373,0.0003,-0.02786944806575775,0.019658413529396058,0.3265625,-13.725660610198975,0.2,0.42677581310272217,0.9595030546188354,1050,0.04583911
189,576,9,3,170.0,-13.186219,-0.023678693547844888,0.0003,0.8720205426216125,2.7365707993507384,0.0734375,-13.723537731170655,0.2,0.4855753779411316,0.9595017433166504,1060,0.018773684
190,640,10,3,170.0,-13.186219,-0.029468755610287188,0.0003,-0.034565433859825134,0.061302777379751205,0.0859375,-13.72017240524292,0.2,0.513577789068222,0.9583150744438171,1070,0.019524677
192,704,11,3,170.0,-13.186219,0.008160095475614072,0.0003,1.7216399908065796,6.729621767997742,0.0734375,-13.704743099212646,0.2,0.6579312682151794,0.9570805430412292,1080,0.012032876
193,768,12,3,170.0,-13.186219,-0.009149805456399918,0.0003,0.16594409942626953,0.8534146904945373,0.0,-13.695970249176025,0.2,-0.024788498878479004,0.9564948081970215,1090,0.002676187
194,832,13,4,170.0,-13.186219,-0.004853950720280409,0.0003,0.027387406677007675,0.31078616306185725,0.0,-13.690371894836426,0.2,0.23744821548461914,0.9560214877128601,1100,0.0022043744
194,896,14,4,170.0,-13.186219,-0.01355852596461773,0.0003,0.02111170068383217,0.23058737590909004,0.053125,-13.68631067276001,0.2,0.9269977286458015,0.9557603001594543,1110,0.012482443
195,960,15,4,170.0,-13.186219,-0.021330415830016138,0.0003,0.06482245028018951,0.4577115893363953,0.1546875,-13.684996700286865,0.2,-0.19317054748535156,0.9558342695236206,1120,0.018606469
195,1024,16,5,170.0,-13.186219,-0.031826481223106384,0.0003,-0.0426313616335392,0.04076946610584855,0.2359375,-13.686463260650635,0.2,0.9379715248942375,0.9559313058853149,1130,0.046002146
196,1088,17,5,258.75,-18.337543,-0.008024194464087486,0.0003,0.03062964230775833,0.21561412364244462,0.1140625,-13.687253284454346,0.2,-0.9085123538970947,0.9559545516967773,1140,0.018097717
196,1152,18,5,258.75,-18.337543,-0.012065895926207304,0.0003,0.46540847420692444,1.9417155504226684,0.0390625,-13.687884902954101,0.2,0.44322800636291504,0.9559209942817688,1150,0.0055154273
197,1216,19,6,234.8,-25.142773,-0.005089083686470985,0.0003,0.2205507904291153,1.2298318982124328,0.0,-13.689119720458985,0.2,0.3914792537689209,0.9561179876327515,1160,0.0013432903
197,1280,20,6,234.8,-25.142773,-0.001208961196243763,0.0003,67.67047882080078,145.70555419921874,0.0015625,-13.692222404479981,0.2,0.5321665406227112,0.9563778638839722,1170,0.0015263865
197,1344,21,6,234.8,-25.142773,-0.0046479861252009865,0.0003,0.1512473225593567,0.764120164513588,0.0,-13.694042491912843,0.2,0.8279359489679337,0.956460177898407,1180,0.00057439413
197,1408,22,7,224.33333333333334,-23.019613,-0.02438843436539173,0.0003,-0.025790376588702202,0.1195397548377514,0.0796875,-13.694749641418458,0.2,0.7872212678194046,0.9563944935798645,1190,0.015420287
197,1472,23,7,224.33333333333334,-23.019613,-0.006052780523896217,0.0003,0.1877073347568512,0.9906365692615509,0.003125,-13.69458646774292,0.2,0.9142511785030365,0.9562376141548157,1200,0.002903344
198,1536,24,7,224.33333333333334,-23.019613,-0.0008974658325314522,0.0003,0.6163939237594604,3.780039703845978,0.0,-13.694063472747803,0.2,-0.09772205352783203,0.9561648368835449,1210,0.002362839
198,1600,25,8,224.33333333333334,-23.019613,-0.007752790953963995,0.0003,0.0068689510226249695,0.22584863528609275,0.003125,-13.693241214752197,0.2,-0.24756574630737305,0.9559486508369446,1220,0.004393393
198,1664,26,8,224.33333333333334,-23.019613,0.0028943411074578763,0.0003,0.17172321677207947,1.2371538937091828,0.0140625,-13.690616798400878,0.2,0.28591233491897583,0.955600380897522,1230,0.0051563242
198,1728,27,8,224.33333333333334,-23.019613,-0.01329496931284666,0.0003,0.0790046900510788,0.4532538279891014,0.0171875,-13.687878799438476,0.2,0.8785951063036919,0.9553282856941223,1240,0.009377966
199,1792,28,8,253.57142857142858,-22.955597,-0.023646886553615333,0.0003,0.030265912413597107,0.28464557975530624,0.23125,-13.684377574920655,0.2,-7.220124244689941,0.954861044883728,1250,0.031171322
199,1856,29,9,253.57142857142858,-22.955597,-0.017877005133777858,0.0003,0.04612171649932861,0.5291827544569969,0.125,-13.678073596954345,0.2,0.8800116404891014,0.9542805552482605,1260,0.031557553
199,1920,30,9,253.57142857142858,-22.955597,-0.006571642681956291,0.0003,0.17257684469223022,0.7635403215885163,0.0,-13.672530937194825,0.2,0.8707816153764725,0.9541726112365723,1270,0.0019375067
199,1984,31,9,243.0,-21.557766,-0.016666992288082837,0.0003,0.07244841754436493,0.3718897715210915,0.0515625,-13.672473430633545,0.2,0.680476039648056,0.9541515111923218,1280,0.0146023175
199,2048,32,10,243.0,-21.557766,-0.009311642637476325,0.0003,0.8370910882949829,3.267452764511108,0.0125,-13.670093727111816,0.2,0.9636370912194252,0.9540532827377319,1290,0.004312969
199,2112,33,10,231.77777777777777,-8.152328,-0.0036431138403713705,0.0003,1.4285246133804321,4.4403174877166744,0.0,-13.668874740600586,0.2,-0.32881486415863037,0.9540041089057922,1300,0.0007721558
199,2176,34,10,231.77777777777777,-8.152328,0.001962368004024029,0.0003,654.7173461914062,1333.2843627929688,0.0,-13.668117427825928,0.2,0.06744158267974854,0.9539629817008972,1310,0.00026545022
200,2240,35,11,231.77777777777777,-8.152328,-0.002258982975035906,0.0003,0.16281601786613464,0.8872861742973328,0.0,-13.668123722076416,0.2,0.80082868039608,0.954058051109314,1320,0.00015477277
200,2304,36,11,231.77777777777777,-8.152328,-0.004277266748249531,0.0003,0.234313502907753,1.206146001815796,0.0,-13.669481563568116,0.2,-0.2003021240234375,0.9541627764701843,1330,0.00081174914
200,2368,37,11,231.77777777777777,-8.152328,-0.024966653436422348,0.0003,-0.020937107503414154,0.06586282998323441,0.1203125,-13.67098789215088,0.2,-1.678051471710205,0.9545798301696777,1340,0.01911031
200,2432,38,12,231.77777777777777,-8.152328,-0.019940653163939715,0.0003,-0.022363724187016487,0.06751386392861605,0.1078125,-13.67883939743042,0.2,0.6738505363464355,0.9557402729988098,1350,0.020075705
200,2496,39,12,231.77777777777777,-8.152328,-0.026715422049164772,0.0003,-0.041753292083740234,0.03225694987922907,0.2453125,-13.6900071144104,0.2,0.8666735887527466,0.9563988447189331,1360,0.06414569
200,2560,40,12,231.77777777777777,-8.152328,-0.03529455065727234,0.0003,-0.061032216995954514,0.03278444386087358,0.4125,-13.693367958068848,0.2,-0.01601541042327881,0.9564583897590637,1370,0.07766537
200,2624,41,13,231.77777777777777,-8.152328,0.0032099553383886812,0.0003,0.039052627980709076,0.16647810637950897,0.253125,-13.692715549468994,0.2,0.7709221839904785,0.9558695554733276,1380,0.029560322
201,2688,42,13,231.77777777777777,-8.152328,-0.019158429838716982,0.0003,-0.013080677948892117,0.7115476639941335,0.2578125,-13.683080101013184,0.2,-0.5433701276779175,0.9549692273139954,1390,0.035025313
201,2752,43,13,231.77777777777777,-8.152328,-0.028522428311407565,0.0003,-0.0410492829978466,0.034969553165137765,0.2859375,-13.673175811767578,0.2,0.5084773302078247,0.9539926648139954,1400,0.028364561
201,2816,44,13,231.77777777777777,-8.152328,-0.026759204268455506,0.0003,-0.04631052166223526,0.024821962881833314,0.3203125,-13.663909339904786,0.2,0.6435421109199524,0.9536868333816528,1410,0.07281732
201,2880,45,14,231.77777777777777,-8.152328,-0.01842005755752325,0.0003,-0.024904422461986542,0.008042866201139986,0.29375,-13.665900707244873,0.2,0.9023007526993752,0.954596996307373,1420,0.039224345
201,2944,46,14,231.77777777777777,-8.152328,-0.028310519643127918,0.0003,-0.038608938455581665,0.022033792501315475,0.3,-13.677955532073975,0.2,0.5116164684295654,0.9560171961784363,1430,0.082950965
201,3008,47,14,296.0,-12.662199,-0.03259440464898944,0.0003,-0.009226333349943161,0.08736690767109394,0.2921875,-13.693578243255615,0.2,0.8218405693769455,0.9573842883110046,1440,0.0581068
201,3072,48,15,296.0,-12.662199,0.007523822598159313,0.0003,1.0558850765228271,3.5490411043167116,0.003125,-13.704242420196532,0.2,-0.1260528564453125,0.9579941034317017,1450,0.0012974497
202,3136,49,15,296.0,-12.662199,-0.0007699276320636272,0.0003,1.8602826595306396,5.227305793762207,0.0,-13.708227920532227,0.2,0.007471203804016113,0.9581476449966431,1460,9.143818e-05
202,3200,50,15,296.0,-12.662199,-0.007483562361449004,0.0003,0.3441058397293091,1.6429523229599,0.0,-13.708882331848145,0.2,-0.6929408311843872,0.9581725001335144,1470,0.00085116085
202,3264,51,16,296.0,-12.662199,-0.00345388762652874,0.0003,0.12200473994016647,2.0198077857494354,0.0,-13.70941972732544,0.2,0.16013193130493164,0.9582840800285339,1480,0.0013688067
202,3328,52,16,296.0,-12.662199,-0.020891186501830816,0.0003,0.004618294537067413,0.16053465008735657,0.10625,-13.715272045135498,0.2,-0.3825923204421997,0.959579348564148,1490,0.02072227
202,3392,53,16,296.0,-12.662199,-0.02396097471937537,0.0003,-0.033017564564943314,0.021572205889970063,0.246875,-13.724390983581543,0.2,0.9013587832450867,0.9587593078613281,1500,0.044272967
202,3456,54,17,296.0,-12.662199,-0.010213451273739339,0.0003,0.006281062960624695,0.10203657113015652,0.109375,-13.7055344581604,0.2,0.3176610469818115,0.9574708938598633,1510,0.019750196
202,3520,55,17,296.0,-12.662199,-0.029105370678007603,0.0003,-0.033335596323013306,0.04330699052661657,0.2,-13.700482845306396,0.2,0.7835559844970703,0.9570692181587219,1520,0.04117271
202,3584,56,17,296.0,-12.662199,-0.010996485967189074,0.0003,0.01234147697687149,0.1371952027082443,0.0890625,-13.695202922821045,0.2,-2.24739408493042,0.9566076993942261,1530,0.018149368
203,3648,57,17,327.90909090909093,-13.771104,-0.019200871512293816,0.0003,-0.01691202074289322,0.03537544570863247,0.1984375,-13.69170789718628,0.2,0.31000882387161255,0.9561824798583984,1540,0.038490973
203,3712,58,18,327.90909090909093,-13.771104,-0.019798748008906842,0.0003,1.4171011447906494,3.940924286842346,0.0265625,-13.688749027252197,0.2,0.6468812227249146,0.9559321403503418,1550,0.008435125
203,3776,59,18,309.5,-13.574454,-0.001675367960706353,0.0003,0.20472659170627594,0.7800533890724182,0.0,-13.687366104125976,0.2,0.7544063180685043,0.9558013677597046,1560,0.001015149
203,3840,60,18,293.6923076923077,-13.355308,0.0019085517153143883,0.0003,0.4894120395183563,1.4135052919387818,0.0046875,-13.68637580871582,0.2,0.26120930910110474,0.9557520747184753,1570,0.0026819957
203,3904,61,19,293.6923076923077,-13.355308,-0.00036033689975738524,0.0003,0.13636980950832367,1.4115540593862534,0.0,-13.686594009399414,0.2,0.9332902282476425,0.9558294415473938,1580,0.00036869198
203,3968,62,19,293.6923076923077,-13.355308,-0.004585631983354687,0.0003,0.1920982301235199,0.7567498236894608,0.0,-13.687231731414794,0.2,0.82503741979599,0.9557741284370422,1590,0.0006773686
203,4032,63,19,293.6923076923077,-13.355308,-0.0027435134164988995,0.0003,0.06561784446239471,1.1324774220585823,0.0,-13.685869503021241,0.2,0.5171292722225189,0.955727219581604,1600,0.0010236017
203,4096,64,20,289.42857142857144,-13.2659025,-0.005160547886043787,0.0003,0.6946232318878174,4.853125762939453,0.0,-13.686698913574219,0.2,0.47374600172042847,0.9558647871017456,1610,0.002875816
203,4160,65,20,289.42857142857144,-13.2659025,-0.004733515344560147,0.0003,3.791743040084839,9.085739946365356,0.0,-13.687699222564698,0.2,0.151708722114563,0.9559043645858765,1620,0.0007066019
203,4224,66,20,279.06666666666666,-13.11241,-0.01044597290456295,0.0003,-0.00635099783539772,0.24728349223732948,0.0015625,-13.687414360046386,0.2,-2.4080286026000977,0.9557366371154785,1630,0.004656393
203,4288,67,21,279.06666666666666,-13.11241,-0.018283479660749436,0.0003,3.5516791343688965,10.289403581619263,0.03125,-13.68486156463623,0.2,-0.7712643146514893,0.9555104970932007,1640,0.007885989
203,4352,68,21,270.5625,-12.97473,-0.025850050058215855,0.0003,0.10138282179832458,0.44435426592826843,0.06875,-13.680877304077148,0.2,-1.5409388542175293,0.9546539187431335,1650,0.017025677
203,4416,69,21,258.6470588235294,-12.82739,-0.009514058055356146,0.0003,1.7592271566390991,5.321697330474853,0.015625,-13.670237350463868,0.2,-0.29932188987731934,0.9540079832077026,1660,0.0042812414
203,4480,70,22,258.6470588235294,-12.82739,-0.006864816788583994,0.0003,2.4079415798187256,6.063102865219117,0.0,-13.66648063659668,0.2,-0.9568196535110474,0.9538990259170532,1670,0.0013087466
203,4544,71,22,258.6470588235294,-12.82739,-0.00012771189212799073,0.0003,0.9664672017097473,3.602653217315674,0.0,-13.665705585479737,0.2,0.827259749174118,0.9538562893867493,1680,0.0015386958
203,4608,72,22,258.6470588235294,-12.82739,-0.0006109572015702725,0.0003,4.157264709472656,12.743286037445069,0.0,-13.66524362564087,0.2,-3.340369701385498,0.9538289904594421,1690,0.00013357867
203,4672,73,22,258.6470588235294,-12.82739,-0.0019819892011582853,0.0003,1.2559887170791626,7.174175596237182,0.0,-13.664869689941407,0.2,0.25066250562667847,0.9537725448608398,1700,0.00011504069
203,4736,74,23,258.6470588235294,-12.82739,-0.021432682871818542,0.0003,0.1661461889743805,0.4271123930811882,0.053125,-13.664316844940185,0.2,0.7318917810916901,0.9537674188613892,1710,0.016959874
203,4800,75,23,258.6470588235294,-12.82739,-0.03094132002443075,0.0003,-0.04795601963996887,0.07244397923350335,0.0984375,-13.664030075073242,0.2,0.5889323949813843,0.9536197781562805,1720,0.02315221
203,4864,76,23,258.6470588235294,-12.82739,-0.029434111900627613,0.0003,-0.054066333919763565,0.0336926001124084,0.20625,-13.659496116638184,0.2,0.8027456402778625,0.9529976844787598,1730,0.050813593
204,4928,77,24,272.3333333333333,-13.589545,-0.02007189616560936,0.0003,0.0026513487100601196,0.13007880039513112,0.15,-13.652104091644286,0.2,0.8969562500715256,0.9524739980697632,1740,0.028735578
204,4992,78,24,272.3333333333333,-13.589545,-0.022175409458577634,0.0003,0.021258268505334854,0.23881593570113183,0.1234375,-13.648320388793945,0.2,-0.6322911977767944,0.9524528384208679,1750,0.02272633
204,5056,79,24,262.89473684210526,-13.430007,0.0021173994056880472,0.0003,0.43430715799331665,1.4018534898757935,0.0015625,-13.650211620330811,0.2,-2.964059829711914,0.952579140663147,1760,0.0030615618
204,5120,80,25,262.89473684210526,-13.430007,-0.004413623549044132,0.0003,0.7343418598175049,3.9493048906326296,0.0,-13.650658893585206,0.2,-0.5325992107391357,0.9525068998336792,1770,0.0012964169
204,5184,81,25,262.89473684210526,-13.430007,-0.01732770735397935,0.0003,0.13395318388938904,0.48178876042366026,0.040625,-13.6504412651062,0.2,-1.3171882629394531,0.9524980783462524,1780,0.013781832
204,5248,82,25,262.89473684210526,-13.430007,-0.017490164376795292,0.0003,0.1406240314245224,0.42671941220760345,0.103125,-13.651864624023437,0.2,0.5903596878051758,0.9528230428695679,1790,0.021411471
204,5312,83,26,262.89473684210526,-13.430007,-0.0246498697437346,0.0003,-0.03246668726205826,0.06330390740185976,0.265625,-13.657585525512696,0.2,0.8669572621583939,0.9535908699035645,1800,0.0385911
204,5376,84,26,262.89473684210526,-13.430007,-0.009930526418611408,0.0003,0.054576896131038666,0.36038700491189957,0.134375,-13.663477230072022,0.2,-7.391517639160156,0.9538025856018066,1810,0.01615304
204,5440,85,26,262.89473684210526,-13.430007,-0.02391622420400381,0.0003,-0.02983098104596138,0.013910434115678072,0.3328125,-13.66214370727539,0.2,0.5267622470855713,0.9533764123916626,1820,0.038498178
204,5504,86,26,272.9,-14.162369,-0.03131476193666458,0.0003,-0.03964288532733917,0.04428028436377644,0.3140625,-13.657700729370116,0.2,0.31386643648147583,0.9525420069694519,1830,0.034891926
204,5568,87,27,272.9,-14.162369,-0.014466288033872843,0.0003,0.6493057608604431,2.5417116403579714,0.096875,-13.647863864898682,0.2,0.5576066970825195,0.9517839550971985,1840,0.019790767
204,5632,88,27,272.9,-14.162369,-0.01572766825556755,0.0003,0.12192126363515854,0.6800723075866699,0.0078125,-13.641952419281006,0.2,-2.74184513092041,0.9511224031448364,1850,0.0074504195
204,5696,89,27,272.9,-14.162369,-0.01051315339282155,0.0003,0.016122162342071533,0.5765529260039329,0.04375,-13.633454322814941,0.2,-0.3496967554092407,0.9503000378608704,1860,0.009577146
204,5760,90,28,273.1904761904762,-14.143682,-0.03777877315878868,0.0003,-0.012975160032510757,0.1734699971973896,0.2828125,-13.62397289276123,0.2,-1.3596971035003662,0.9495493173599243,1870,0.06377556
204,5824,91,28,273.1904761904762,-14.143682,-0.0064886766485869884,0.0003,0.7251657247543335,2.5109419226646423,0.028125,-13.619660568237304,0.2,-0.01013195514678955,0.9494467973709106,1880,0.006134417
204,5888,92,28,273.1904761904762,-14.143682,-0.00593893751502037,0.0003,0.05709783732891083,1.0026994034647942,0.0,-13.619561100006104,0.2,0.9848513621836901,0.9495023488998413,1890,0.0015295073
204,5952,93,29,273.1904761904762,-14.143682,0.0025179381482303143,0.0003,3.1501309871673584,10.297408533096313,0.0,-13.620239639282227,0.2,-4.963619709014893,0.9495676159858704,1900,0.00074098073
204,6016,94,29,273.1904761904762,-14.143682,-0.0012331806123256684,0.0003,0.4895659387111664,3.3883445978164675,0.0,-13.620753860473632,0.2,-0.8723981380462646,0.949600338935852,1910,0.00019795354
204,6080,95,29,273.1904761904762,-14.143682,-0.021346038021147252,0.0003,0.004573706537485123,0.09908763486891985,0.165625,-13.619593715667724,0.2,0.8323132544755936,0.9492937922477722,1920,0.036435496
204,6144,96,30,273.1904761904762,-14.143682,-0.009012549091130495,0.0003,0.0021036192774772644,0.14716871157288552,0.0453125,-13.61609344482422,0.2,0.07055264711380005,0.9493461847305298,1930,0.010744057
204,6208,97,30,273.1904761904762,-14.143682,-0.04371438790112734,0.0003,-0.05271361768245697,0.05396939758211374,0.25625,-13.618646240234375,0.2,-2.332134962081909,0.9497130513191223,1940,0.06184956
204,6272,98,30,283.09090909090907,-14.62656,-0.038922999519854784,0.0003,-0.04641462489962578,0.02846242729574442,0.3328125,-13.61982707977295,0.2,0.7878757417201996,0.9494563341140747,1950,0.07468139
204,6336,99,31,274.6521739130435,-14.450063,0.0031405880115926267,0.0003,0.9050817489624023,3.755250108242035,0.05,-13.615710639953614,0.2,0.11765092611312866,0.9491434097290039,1960,0.0068103457
204,6400,100,31,266.625,-14.288284,0.0004015680402517319,0.0003,6.815202713012695,16.555974292755128,0.0,-13.613551235198974,0.2,-1.7001523971557617,0.9490550756454468,1970,0.00015178882
