time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/std,train/clip_fraction,rollout/ep_rew_mean,train/value_loss,train/approx_kl,train/explained_variance,rollout/ep_len_mean,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/n_updates,train/loss,train/entropy_loss
0,64,1,231,,,,,,,,,,,,,
0,128,2,222,0.9491473436355591,0.0,-10.751458,0.1276543691754341,0.0012999764,0.06601214408874512,103.0,0.0003,0.2,-0.007631768845021725,1990,0.00483095645904541,-13.613331699371338
0,192,3,208,0.949318528175354,0.0078125,-10.751458,7.476370477676392,0.0052285483,0.15744400024414062,103.0,0.0003,0.2,-0.016957599855959415,2000,2.8662607669830322,-13.615216732025146
1,256,4,207,0.9493227005004883,0.0,-10.751458,0.26365715712308885,0.0022600116,-7.572385787963867,103.0,0.0003,0.2,-0.005247626174241305,2010,0.07915966957807541,-13.616379451751708
1,320,5,204,0.9494197964668274,0.025,-10.751458,0.5007829442620277,0.0059073595,-5.721414089202881,103.0,0.0003,0.2,-0.0038979253731667995,2020,0.10382431745529175,-13.616479396820068
1,384,6,203,0.9495565295219421,0.075,-10.751458,0.13090903628617526,0.020808682,0.6534042954444885,103.0,0.0003,0.2,-0.01603160109370947,2030,0.016016297042369843,-13.618039608001709
2,448,7,204,0.9494338035583496,0.140625,-10.751458,0.11782158091664315,0.027810954,0.7934647053480148,103.0,0.0003,0.2,-0.014261382911354304,2040,0.024945411831140518,-13.618715000152587
2,512,8,202,0.949268639087677,0.078125,-10.751458,0.07458181083202362,0.014543062,0.5454155802726746,103.0,0.0003,0.2,-0.020229989662766457,2050,-0.013676613569259644,-13.616648960113526
2,576,9,203,0.9486778378486633,0.2484375,-14.013155,0.16490462869405748,0.039124645,-16.086729049682617,267.5,0.0003,0.2,-0.03287860658019781,2060,0.0034915469586849213,-13.612791347503663
3,640,10,204,0.948093593120575,0.0140625,-14.013155,2.498366594314575,0.0038065156,-1.0493767261505127,267.5,0.0003,0.2,-0.00637787589803338,2070,0.8544962406158447,-13.60476303100586
3,704,11,203,0.9479290246963501,0.0,-14.013155,2.1411030888557434,0.00052150805,0.36577463150024414,267.5,0.0003,0.2,-0.002778187673538923,2080,0.34560149908065796,-13.600703620910645
3,768,12,203,0.9479231834411621,0.0,-13.336843,0.6370840698480607,0.0015118103,0.519185870885849,239.66666666666666,0.0003,0.2,-0.005101472791284323,2090,0.12359766662120819,-13.59998197555542
4,832,13,203,0.948224663734436,0.015625,-12.639694,0.19496089406311512,0.0072485823,0.9931208794005215,201.0,0.0003,0.2,-0.01151158194988966,2100,0.016749706119298935,-13.600960731506348
4,896,14,203,0.9485227465629578,0.0015625,-12.215397,17.16037483215332,0.0036936468,-1.8029613494873047,175.6,0.0003,0.2,0.004371783323585987,2110,6.692430019378662,-13.604677867889404
4,960,15,203,0.9486755132675171,0.0,-12.215397,4.239454746246338,0.0016320897,-0.6214656829833984,175.6,0.0003,0.2,-0.009804493188858033,2120,1.4370626211166382,-13.606706809997558
5,1024,16,204,0.94871586561203,0.0140625,-12.215397,0.8441486299037934,0.005557996,-0.8467364311218262,175.6,0.0003,0.2,-0.010852520354092121,2130,0.19434918463230133,-13.607850646972656
5,1088,17,203,0.9486716985702515,0.0,-18.818499,0.3231795810163021,0.0016670516,-0.7318990230560303,173.5,0.0003,0.2,-0.0059903709217906,2140,0.03151106834411621,-13.607703495025635
5,1152,18,203,0.9486390352249146,0.0046875,-17.642237,204.45718078613282,0.0040222453,0.21406251192092896,161.14285714285714,0.0003,0.2,-0.009464117418974637,2150,96.49288177490234,-13.607394695281982
5,1216,19,204,0.9485991597175598,0.0,-17.642237,9.03233094215393,0.00089385174,-0.6399493217468262,161.14285714285714,0.0003,0.2,-0.004838522430509329,2160,3.073610782623291,-13.607085514068604
6,1280,20,204,0.9486168622970581,0.0375,-17.642237,1.209095948934555,0.011378031,-0.09496903419494629,161.14285714285714,0.0003,0.2,-0.021578345447778702,2170,0.41866329312324524,-13.606856441497802
6,1344,21,204,0.9485777616500854,0.0140625,-16.834948,1.0605709165334702,0.0075971503,-5.326690673828125,167.0,0.0003,0.2,-0.009840458258986473,2180,0.36543843150138855,-13.606791973114014
6,1408,22,204,0.9485366940498352,0.0125,-16.834948,9.974536085128785,0.0049112774,-0.8878421783447266,167.0,0.0003,0.2,-0.012079558055847883,2190,3.3752307891845703,-13.606046009063721
7,1472,23,205,0.9488593339920044,0.0,-15.534656,0.36898402124643326,0.001077706,-4.664661884307861,144.6,0.0003,0.2,-0.004825789947062731,2200,0.05714026838541031,-13.606671810150146
7,1536,24,205,0.9493594169616699,0.0046875,-15.0782585,9.437546396255494,0.0028245114,-0.41157615184783936,138.27272727272728,0.0003,0.2,0.006246773153543472,2210,3.90437912940979,-13.611804676055907
7,1600,25,205,0.9494954347610474,0.0,-15.0782585,5.402120280265808,0.00070608594,-0.24668490886688232,138.27272727272728,0.0003,0.2,-0.00590167585760355,2220,1.7593684196472168,-13.6150541305542
8,1664,26,205,0.9497144818305969,0.0,-15.0782585,0.6554914437234401,0.00095066894,-4.835433483123779,138.27272727272728,0.0003,0.2,-0.001728735025972128,2230,0.0619608536362648,-13.616007614135743
