Episode,Reward,Length,Time,R,,time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates
1,99.37455,37,37,99.7757414927216,,8,246,2048,56.5555555555556,-10.4015465,
2,-54.181522,340,377,12.1204559196117,,17,236,4096,60.9193548387097,-11.105967,10
3,98.87802,47,424,99.492304449961,,26,231,6144,77.1621621621622,-11.298023,20
4,-50.09687,325,749,14.4521210427387,,35,230,8192,91.8539325842697,-11.99353,30
5,-49.695503,324,1073,14.6812356491909,,44,229,10240,99.0102040816327,-12.414914,40
6,-51.715767,69,1142,13.5279968645137,,53,228,12288,119.21,-13.858474,50
7,-48.93421,324,1466,15.1158088604658,,62,228,14336,135.38,-15.11406,60
8,99.34037,36,1502,99.7562303290023,,71,228,16384,154.9,-16.16212,70
9,-67.21089,394,1896,4.68282770991683,,80,227,18432,157.4,-16.212347,80
10,-75.41435,420,2316,0,,89,227,20480,186.76,-19.0251,90
11,-47.667015,314,2630,15.8391689865429,,98,227,22528,207.7,-22.04798,100
12,-48.063065,314,2944,15.6130895134288,,108,227,24576,224.78,-23.139717,110
13,-52.111988,60,3004,13.3018197784975,,117,227,26624,249.81,-25.097586,120
14,99.506744,28,3032,99.8512025452878,,126,227,28672,254.01,-25.256382,130
15,-52.061275,67,3099,13.3307685685998,,135,227,30720,284.18,-28.40911,140
16,-50.184505,332,3431,14.4020958574683,,144,227,32768,302.87,-29.314007,150
17,-43.928196,297,3728,17.9734202921583,,153,226,34816,318.81,-30.991201,160
18,-51.924973,329,4057,13.4085746141607,,162,226,36864,332.32,-31.664087,170
19,-61.841877,367,4424,7.7476519244926,,171,226,38912,356.82,-35.713528,180
20,-62.878082,378,4802,7.15614913333443,,180,226,40960,375.44,-37.49547,190
21,99.14127,37,4839,99.6425769440837,,189,226,43008,400.07,-39.324963,200
22,-51.324368,58,4897,13.7514213808561,,198,226,45056,415.3,-39.861607,210
23,-66.60437,390,5287,5.02905096968999,,207,226,47104,432.01,-40.608803,220
24,-52.010303,73,5360,13.3598652051446,,216,226,49152,435.78,-41.52842,230
25,-67.82648,395,5755,4.33142697047912,,226,226,51200,442.13,-41.766167,240
26,-47.464447,324,6079,15.9548020296177,,235,226,53248,453.92,-42.16806,250
27,-51.273445,52,6131,13.7804900464523,,244,226,55296,459.13,-42.277042,260
28,-49.482765,325,6456,14.8026740911839,,253,226,57344,454.81,-40.821495,270
29,-45.850616,308,6764,16.8760343542615,,262,226,59392,425.46,-38.59083,280
30,-63.182877,372,7136,6.9821612706711,,271,226,61440,412.57,-36.181675,290
31,-54.80143,343,7479,11.7665903116854,,280,226,63488,361.78,-29.24408,300
32,-51.799866,59,7538,13.4799901542261,,289,226,65536,339.08,-26.058647,310
33,-52.30604,339,7877,13.1910479721176,,298,226,67584,316.25,-23.828314,320
34,-47.62211,317,8194,15.8648023629857,,307,226,69632,263.79,-16.10848,330
35,-61.992344,367,8561,7.66175999145116,,316,226,71680,259.22,-15.825976,340
36,-64.23836,374,8935,6.37965390917411,,325,226,73728,252.67,-15.252494,350
37,-63.618927,372,9307,6.73324837014995,,334,226,75776,259.22,-15.015852,360
38,-51.821346,70,9377,13.4677286037085,,343,226,77824,256.72,-14.86857,370
39,-49.697422,330,9707,14.680140215511,,352,226,79872,261.83,-14.714034,380
40,-55.527805,342,10049,11.3519495408654,,361,226,81920,275.69,-15.410701,390
41,-62.874683,369,10418,7.15808940382835,,370,226,83968,285.54,-15.738294,400
42,-50.74836,335,10753,14.0802273022032,,379,226,86016,289.47,-15.791516,410
43,-67.99518,396,11149,4.23512699038986,,388,226,88064,294.84,-15.005903,420
44,-67.76233,393,11542,4.36804607968318,,397,226,90112,288.99,-15.269602,430
45,-64.04738,376,11918,6.48867210832908,,406,226,92160,290.96,-15.4019985,440
46,99.297165,33,11951,99.7315673732243,,415,226,94208,302.87,-17.268017,450
47,-52.80675,341,12292,12.905224836193,,424,226,96256,299.31,-16.050386,460
48,-62.192352,367,12659,7.54758828773041,,433,226,98304,301.92,-15.79724,470
