Episode,Reward,Length
1,-47.601818,344
2,-52.38308,85
3,-11.150841,94
4,-10.616511,45
5,-10.609453,39
6,-42.57109,303
7,-10.53077,33
8,-40.25011,306
9,-36.94327,342
10,-10.551913,42
11,-38.6333,272
12,-42.303013,322
13,-42.03656,317
14,-51.667355,76
15,-11.716028,64
16,-52.333717,88
17,-40.692635,284
18,-12.704575,148
19,99.13056,62
20,-44.016354,310
21,-48.830853,340
22,-10.496774,36
23,-11.310234,95
24,-10.726452,49
25,-36.105656,272
26,-10.560171,35
27,-10.907372,55
28,-12.029121,113
29,-51.7815,79
30,-48.773884,329
31,-41.414204,296
32,-52.082718,85
33,-46.63714,372
34,-10.603896,49
35,-11.264836,58
36,-10.827491,50
37,-52.57903,95
38,-45.01668,446
39,-52.44502,90
40,-39.35299,356
41,-10.921931,54
42,99.93819,10
43,-52.10983,83
44,-11.024263,52
45,-10.679813,49
46,-10.944979,72
47,-11.108121,55
48,-10.650431,40
49,-39.77047,294
50,-11.864394,68
51,-41.21333,279
52,-10.997524,68
53,-11.841547,75
54,-11.248128,74
55,-11.109234,98
56,-29.105858,335
57,-51.687424,91
58,-10.568863,39
59,-41.33261,302
60,-10.530144,39
61,-52.24845,92
62,-41.146957,306
63,-11.036282,59
64,-12.084356,126
65,-10.513868,32
66,-10.775602,70
67,-42.937187,292
68,-11.155192,92
69,-10.485371,37
70,-50.56507,364
71,-43.600662,347
72,-51.757793,76
73,-52.505917,90
74,99.53848,39
75,-11.243552,63
76,-41.525227,339
77,-10.485357,33
78,-10.86689,80
79,99.407524,44
80,-42.412212,311
81,-10.778373,47
82,-51.63288,74
83,-10.676521,44
84,99.754074,28
85,-43.34967,331
86,-10.533272,34
87,-10.540293,48
88,-11.215679,56
89,-10.896008,49
90,-10.922264,52
91,-10.516218,48
92,-43.202927,351
93,-42.735214,315
94,-11.730873,81
95,-39.718075,300
96,-41.270645,313
97,-45.233986,335
98,-10.58914,45
99,-10.51645,36
100,-11.0729475,93
