r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
3.210754776000976562e+01,3.210754776000976562e+01,-6.884662151336669922e+00,1.501974487304687500e+01,1.555468750000000000e+01,1.715384674072265625e+01,-1.000000000000000000e+00,2.560000000000000000e+02,2.600000000000000000e+01,2.560000000000000000e+02,2.600000000000000000e+01,3.240917205810546875e+00,2.596749782562255859e+00,5.039062500000000000e-01,4.230769276618957520e-01,6.908021926879882812e+00,2.449968414306640625e+02
3.210754776000976562e+01,2.375054359436035156e+01,-1.089258766174316406e+01,1.205819225311279297e+01,1.516406250000000000e+01,1.442307662963867188e+01,-1.000000000000000000e+00,2.560000000000000000e+02,2.600000000000000000e+01,2.560000000000000000e+02,2.600000000000000000e+01,3.248522996902465820e+00,2.628953456878662109e+00,4.453125000000000000e-01,5.000000000000000000e-01,4.126242160797119141e+00,4.760307617187500000e+02
3.473428344726562500e+01,3.473428344726562500e+01,-6.870256900787353516e+00,1.112030601501464844e+01,1.522656250000000000e+01,1.703846168518066406e+01,-1.000000000000000000e+00,2.560000000000000000e+02,2.600000000000000000e+01,2.560000000000000000e+02,2.600000000000000000e+01,3.246623277664184570e+00,2.586839914321899414e+00,5.390625000000000000e-01,6.538461446762084961e-01,4.169188022613525391e+00,7.127378540039062500e+02
3.473428344726562500e+01,3.087676048278808594e+01,-6.407255649566650391e+00,1.157820510864257812e+01,1.542968750000000000e+01,1.596153831481933594e+01,-1.000000000000000000e+00,2.560000000000000000e+02,2.600000000000000000e+01,2.560000000000000000e+02,2.600000000000000000e+01,3.254011869430541992e+00,2.660245418548583984e+00,5.156250000000000000e-01,6.923077106475830078e-01,3.954363346099853516e+00,9.443797607421875000e+02
3.688814926147460938e+01,3.688814926147460938e+01,-7.202939033508300781e+00,1.452388572692871094e+01,1.543750000000000000e+01,1.553846168518066406e+01,-1.000000000000000000e+00,2.560000000000000000e+02,2.600000000000000000e+01,2.560000000000000000e+02,2.600000000000000000e+01,3.262938499450683594e+00,2.641196489334106445e+00,4.921875000000000000e-01,5.769230723381042480e-01,5.136268138885498047e+00,1.188278686523437500e+03
3.688814926147460938e+01,2.489843177795410156e+01,-7.761161327362060547e+00,1.089032268524169922e+01,1.555468750000000000e+01,1.546153831481933594e+01,-1.000000000000000000e+00,2.560000000000000000e+02,2.600000000000000000e+01,2.560000000000000000e+02,2.600000000000000000e+01,3.245948553085327148e+00,2.656814336776733398e+00,4.609375000000000000e-01,6.923077106475830078e-01,4.420924663543701172e+00,1.414929687500000000e+03
3.688814926147460938e+01,3.312329483032226562e+01,-7.389905452728271484e+00,1.167863559722900391e+01,1.571875000000000000e+01,1.476923084259033203e+01,-1.000000000000000000e+00,2.560000000000000000e+02,2.600000000000000000e+01,2.560000000000000000e+02,2.600000000000000000e+01,3.255069732666015625e+00,2.671961784362792969e+00,4.882812500000000000e-01,4.615384638309478760e-01,4.422945499420166016e+00,1.666365112304687500e+03
3.688814926147460938e+01,2.678297996520996094e+01,-8.392511367797851562e+00,1.121904468536376953e+01,1.508203125000000000e+01,1.523076915740966797e+01,-1.000000000000000000e+00,2.560000000000000000e+02,2.600000000000000000e+01,2.550000000000000000e+02,2.600000000000000000e+01,3.256000518798828125e+00,2.618519067764282227e+00,5.078125000000000000e-01,6.538461446762084961e-01,3.654342174530029297e+00,1.902268066406250000e+03
3.688814926147460938e+01,2.674112510681152344e+01,-7.425096988677978516e+00,1.320326709747314453e+01,1.570703125000000000e+01,1.653846168518066406e+01,-1.000000000000000000e+00,2.560000000000000000e+02,2.600000000000000000e+01,2.560000000000000000e+02,2.600000000000000000e+01,3.245833396911621094e+00,2.621210575103759766e+00,5.078125000000000000e-01,5.000000000000000000e-01,4.368192672729492188e+00,2.145948486328125000e+03
3.688814926147460938e+01,3.521417617797851562e+01,-6.012269020080566406e+00,1.289798069000244141e+01,1.569140625000000000e+01,1.626922988891601562e+01,-1.000000000000000000e+00,2.560000000000000000e+02,2.600000000000000000e+01,2.560000000000000000e+02,2.600000000000000000e+01,3.237495422363281250e+00,2.638135194778442383e+00,5.195312500000000000e-01,5.769230723381042480e-01,5.675700664520263672e+00,2.390418457031250000e+03
