r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
3.928378677368164062e+01,3.928378677368164062e+01,-6.913342475891113281e+00,2.801632118225097656e+01,1.562500000000000000e+01,1.485714244842529297e+01,-1.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,3.012829542160034180e+00,1.764307022094726562e+00,4.218750000000000000e-01,2.857142984867095947e-01,2.278748703002929688e+01,1.222713394165039062e+02
3.981653213500976562e+01,3.981653213500976562e+01,-1.058692264556884766e+01,2.394948196411132812e+01,1.521875000000000000e+01,1.457142829895019531e+01,-1.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,3.006552219390869141e+00,1.751104235649108887e+00,4.843750000000000000e-01,2.857142984867095947e-01,9.935767173767089844e+00,2.251571350097656250e+02
3.981653213500976562e+01,3.057107925415039062e+01,-8.432787895202636719e+00,2.578331184387207031e+01,1.514062500000000000e+01,1.414285755157470703e+01,-1.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,3.022785902023315430e+00,1.766798734664916992e+00,5.156250000000000000e-01,2.857142984867095947e-01,2.115237426757812500e+01,3.374975280761718750e+02
4.312684249877929688e+01,4.312684249877929688e+01,-1.244860649108886719e+01,1.605542945861816406e+01,1.614062500000000000e+01,1.585714244842529297e+01,-1.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,2.990694046020507812e+00,1.778383493423461914e+00,5.937500000000000000e-01,2.857142984867095947e-01,1.378593087196350098e+00,4.392905883789062500e+02
4.312684249877929688e+01,3.745391082763671875e+01,-1.365295982360839844e+01,1.499235534667968750e+01,1.657812500000000000e+01,1.685714340209960938e+01,-1.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,2.976607799530029297e+00,1.775018215179443359e+00,5.625000000000000000e-01,4.285714328289031982e-01,-3.163359165191650391e-01,5.625393676757812500e+02
4.312684249877929688e+01,4.133441925048828125e+01,-8.253642082214355469e+00,2.917997360229492188e+01,1.612500000000000000e+01,1.414285755157470703e+01,-1.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,2.991823911666870117e+00,1.773400187492370605e+00,5.000000000000000000e-01,2.857142984867095947e-01,1.889873886108398438e+01,6.791693725585937500e+02
4.312684249877929688e+01,3.856604766845703125e+01,-6.421305656433105469e+00,3.286072540283203125e+01,1.582812500000000000e+01,1.514285755157470703e+01,-1.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,3.011627674102783203e+00,1.789094567298889160e+00,4.218750000000000000e-01,4.285714328289031982e-01,2.490337944030761719e+01,7.844785156250000000e+02
5.252852630615234375e+01,5.252852630615234375e+01,-8.690800666809082031e+00,2.582860755920410156e+01,1.562500000000000000e+01,1.385714244842529297e+01,-1.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,3.015310525894165039e+00,1.742884755134582520e+00,4.218750000000000000e-01,2.857142984867095947e-01,7.622081279754638672e+00,9.013186035156250000e+02
6.777315521240234375e+01,6.777315521240234375e+01,-1.200872993469238281e+01,1.413086700439453125e+01,1.565625000000000000e+01,1.328571414947509766e+01,-1.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,3.017851591110229492e+00,1.817991852760314941e+00,4.531250000000000000e-01,2.857142984867095947e-01,-4.636825084686279297e+00,1.006033508300781250e+03
6.777315521240234375e+01,4.190644454956054688e+01,-7.068216800689697266e+00,2.917345428466796875e+01,1.565625000000000000e+01,1.514285755157470703e+01,-1.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,3.024565458297729492e+00,1.788764953613281250e+00,4.687500000000000000e-01,2.857142984867095947e-01,2.202232551574707031e+01,1.117286254882812500e+03
