r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
5.374586486816406250e+01,5.374586486816406250e+01,-6.769750595092773438e+00,3.060888481140136719e+01,1.562500000000000000e+01,1.400000000000000000e+01,-1.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,3.012829542160034180e+00,1.788221001625061035e+00,4.687500000000000000e-01,4.285714328289031982e-01,2.144656753540039062e+01,1.315530090332031250e+02
5.374586486816406250e+01,3.328047180175781250e+01,-9.445472717285156250e+00,1.886433410644531250e+01,1.521875000000000000e+01,1.300000000000000000e+01,-1.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,3.005866289138793945e+00,1.758579254150390625e+00,5.000000000000000000e-01,4.285714328289031982e-01,4.950374603271484375e+00,2.474553985595703125e+02
5.374586486816406250e+01,2.995503997802734375e+01,-9.757710456848144531e+00,2.504930496215820312e+01,1.514062500000000000e+01,1.514285755157470703e+01,-1.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,3.024958133697509766e+00,1.728808403015136719e+00,5.312500000000000000e-01,2.857142984867095947e-01,1.588612174987792969e+01,3.602068481445312500e+02
5.374586486816406250e+01,3.468977355957031250e+01,-1.315172958374023438e+01,1.594893741607666016e+01,1.615625000000000000e+01,1.628571510314941406e+01,-1.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,2.984498500823974609e+00,1.811390399932861328e+00,5.625000000000000000e-01,2.857142984867095947e-01,-3.165476083755493164e+00,4.673243408203125000e+02
5.374586486816406250e+01,3.486495971679687500e+01,-1.227976322174072266e+01,1.604625320434570312e+01,1.654687500000000000e+01,1.600000000000000000e+01,-1.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,2.977086067199707031e+00,1.789094567298889160e+00,5.156250000000000000e-01,2.857142984867095947e-01,1.307859539985656738e+00,5.711405029296875000e+02
5.374586486816406250e+01,3.414446258544921875e+01,-9.963865280151367188e+00,2.241992568969726562e+01,1.604687500000000000e+01,1.628571510314941406e+01,-1.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,2.993872165679931641e+00,1.765180587768554688e+00,4.843750000000000000e-01,4.285714328289031982e-01,7.456390857696533203e+00,6.759211425781250000e+02
5.374586486816406250e+01,4.159879684448242188e+01,-7.484942913055419922e+00,3.211299896240234375e+01,1.579687500000000000e+01,1.614285659790039062e+01,-1.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,3.011504888534545898e+00,1.762688994407653809e+00,5.156250000000000000e-01,4.285714328289031982e-01,2.151079368591308594e+01,7.817614746093750000e+02
5.374586486816406250e+01,4.344134902954101562e+01,-8.436735153198242188e+00,3.041062927246093750e+01,1.560937500000000000e+01,1.457142829895019531e+01,-1.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,3.023714065551757812e+00,1.715605616569519043e+00,4.687500000000000000e-01,0.000000000000000000e+00,1.976997947692871094e+01,8.832511596679687500e+02
5.374586486816406250e+01,5.082435226440429688e+01,-1.162202358245849609e+01,1.692637062072753906e+01,1.559375000000000000e+01,1.342857170104980469e+01,-1.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,3.020511388778686523e+00,1.778383493423461914e+00,4.375000000000000000e-01,1.428571492433547974e-01,1.271344065666198730e+00,9.906133422851562500e+02
5.374586486816406250e+01,5.127441024780273438e+01,-5.825463771820068359e+00,3.681748580932617188e+01,1.550000000000000000e+01,1.342857170104980469e+01,-1.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,3.029026985168457031e+00,1.761070847511291504e+00,5.156250000000000000e-01,2.857142984867095947e-01,2.562526512145996094e+01,1.100316528320312500e+03
5.374586486816406250e+01,3.996944046020507812e+01,-9.130548477172851562e+00,2.805770683288574219e+01,1.579687500000000000e+01,1.171428585052490234e+01,-1.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,3.032038211822509766e+00,1.789094567298889160e+00,5.468750000000000000e-01,2.857142984867095947e-01,1.581648254394531250e+01,1.209012084960937500e+03
5.374586486816406250e+01,4.121380233764648438e+01,-8.790555953979492188e+00,2.638595962524414062e+01,1.484375000000000000e+01,1.714285659790039062e+01,-1.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,3.018501281738281250e+00,1.693309783935546875e+00,4.218750000000000000e-01,1.428571492433547974e-01,1.748982810974121094e+01,1.321458251953125000e+03
5.374586486816406250e+01,2.873199653625488281e+01,-9.388976097106933594e+00,1.896563148498535156e+01,1.467187500000000000e+01,1.128571414947509766e+01,-1.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,2.995031118392944336e+00,1.811390399932861328e+00,4.843750000000000000e-01,1.428571492433547974e-01,9.010679244995117188e+00,1.424385620117187500e+03
5.374586486816406250e+01,3.956341552734375000e+01,-6.945773124694824219e+00,2.853489875793457031e+01,1.509375000000000000e+01,1.357142829895019531e+01,-1.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,6.400000000000000000e+01,7.000000000000000000e+00,3.006525278091430664e+00,1.771782040596008301e+00,4.687500000000000000e-01,2.857142984867095947e-01,1.677090644836425781e+01,1.531139038085937500e+03
